Hour,Fuel,Value
1,Power,-9.81055
1,Heat,-0.0
1,Mobility,-0.0
1,Cooking,-0.0
1,Diesel,-999996.65382
1,FireWood,-999839.66648272
1,Gas,-999999.0
2,Power,-0.0
2,Heat,-0.0
2,Mobility,-0.0
2,Cooking,-0.0
2,Diesel,-999994.30764
2,FireWood,-999823.97176414
2,Gas,-999999.0
3,Power,-0.0
3,Heat,-0.0
3,Mobility,-0.0
3,Cooking,-0.0
3,Diesel,-999996.65382
3,FireWood,-999826.17453166
3,Gas,-999999.0
4,Power,-9.172500000000007
4,Heat,-0.0
4,Mobility,-0.0
4,Cooking,-0.0
4,Diesel,-999994.30764
4,FireWood,-999830.85541264
4,Gas,-999999.0
5,Power,-0.0
5,Heat,-0.0
5,Mobility,-0.0
5,Cooking,-0.0
5,Diesel,-999997.82691
5,FireWood,-999738.06383086
5,Gas,-999999.0
6,Power,-1.1231306122447826
6,Heat,-0.0
6,Mobility,-0.0
6,Cooking,-0.0
6,Diesel,-999994.30764
6,FireWood,-999735.49393542
6,Gas,-999996.26886
7,Power,-0.0
7,Heat,-0.0
7,Mobility,-0.0
7,Cooking,-0.0
7,Diesel,-999991.96146
7,FireWood,-999747.0584649
7,Gas,-999993.53772
8,Power,-0.0
8,Heat,-0.0
8,Mobility,-0.0
8,Cooking,-0.0
8,Diesel,-999991.96146
8,FireWood,-999731.36374632
8,Gas,-999987.16506
9,Power,-0.0
9,Heat,-0.0
9,Mobility,-0.0
9,Cooking,-0.0
9,Diesel,-999997.82691
9,FireWood,-999753.29963954
9,Gas,-999984.43392
10,Power,-0.0
10,Heat,-0.0
10,Mobility,-0.0
10,Cooking,-0.0
10,Diesel,-999995.48073
10,FireWood,-999751.28043598
10,Gas,-999984.43392
11,Power,-0.0
11,Heat,-0.0
11,Mobility,-0.0
11,Cooking,-0.0
11,Diesel,-999991.96146
11,FireWood,-999824.98136592
11,Gas,-999993.53772
12,Power,-0.0
12,Heat,-0.0
12,Mobility,-0.0
12,Cooking,-0.0
