Hour,Fuel,Value
6,Gas,2.83537851
7,Gas,5.281296456
8,Gas,11.731247718
9,Gas,14.566626228
10,Gas,14.177074626000001
11,Gas,5.281296456
12,Gas,14.177074626000001
13,Gas,13.787614062000001
14,Gas,13.787614062000001
15,Gas,8.506226568
16,Gas,3.614481714
17,Gas,2.83537851
18,Gas,12.496877298000001
19,Gas,24.153564894
20,Gas,24.153564894
21,Gas,23.489988911999998
22,Gas,10.32507477
23,Gas,4.830749394
30,Gas,3.12761049
31,Gas,5.573437398
32,Gas,13.191952428
33,Gas,16.319562918
34,Gas,15.637870374
35,Gas,5.573437398
36,Gas,15.637870374
37,Gas,14.95617783
38,Gas,14.95617783
39,Gas,9.382740432
40,Gas,4.490995578
41,Gas,3.12761049
42,Gas,13.784518770000002
43,Gas,26.642270699999997
44,Gas,26.642270699999997
45,Gas,25.480898934000002
46,Gas,11.818280046
47,Gas,5.32845414
54,Gas,2.83537851
55,Gas,5.281296456
56,Gas,11.731247718
57,Gas,14.566626228
58,Gas,14.177074626000001
59,Gas,5.281296456
60,Gas,14.177074626000001
61,Gas,13.787614062000001
62,Gas,13.787614062000001
63,Gas,8.506226568
64,Gas,3.614481714
65,Gas,2.83537851
66,Gas,12.496877298000001
67,Gas,24.153564894
68,Gas,24.153564894
69,Gas,23.489988911999998
70,Gas,10.32507477
71,Gas,4.830749394
78,Gas,3.12761049
79,Gas,5.573437398
80,Gas,13.191952428
81,Gas,16.319562918
82,Gas,15.637870374
83,Gas,5.573437398
84,Gas,15.637870374
85,Gas,14.95617783
86,Gas,14.95617783
87,Gas,9.382740432
88,Gas,4.490995578
89,Gas,3.12761049
90,Gas,13.784518770000002
91,Gas,26.642270699999997
92,Gas,26.642270699999997
93,Gas,25.480898934000002
94,Gas,11.818280046
95,Gas,5.32845414
102,Gas,2.83537851
103,Gas,5.281296456
104,Gas,11.731247718
105,Gas,14.566626228
106,Gas,14.177074626000001
107,Gas,5.281296456
108,Gas,14.177074626000001
109,Gas,13.787614062000001
110,Gas,13.787614062000001
111,Gas,8.506226568
112,Gas,3.614481714
113,Gas,2.83537851
114,Gas,12.496877298000001
115,Gas,24.153564894
116,Gas,24.153564894
117,Gas,23.489988911999998
118,Gas,10.32507477
119,Gas,4.830749394
126,Gas,3.12761049
127,Gas,5.573437398
128,Gas,13.191952428
129,Gas,16.319562918
130,Gas,15.637870374
131,Gas,5.573437398
132,Gas,15.637870374
133,Gas,14.95617783
134,Gas,14.95617783
135,Gas,9.382740432
136,Gas,4.490995578
137,Gas,3.12761049
138,Gas,13.784518770000002
139,Gas,26.642270699999997
140,Gas,26.642270699999997
141,Gas,25.480898934000002
142,Gas,11.818280046
143,Gas,5.32845414
150,Gas,3.12761049
151,Gas,5.573437398
152,Gas,13.191952428
153,Gas,16.319562918
154,Gas,15.637870374
155,Gas,5.573437398
156,Gas,15.637870374
157,Gas,14.95617783
158,Gas,14.95617783
159,Gas,9.382740432
160,Gas,4.490995578
161,Gas,3.12761049
162,Gas,13.784518770000002
163,Gas,26.642270699999997
164,Gas,26.642270699999997
165,Gas,25.480898934000002
166,Gas,11.818280046
167,Gas,5.32845414
174,Gas,2.83537851
175,Gas,5.281296456
176,Gas,11.731247718
177,Gas,14.566626228
178,Gas,14.177074626000001
179,Gas,5.281296456
180,Gas,14.177074626000001
181,Gas,13.787614062000001
182,Gas,13.787614062000001
183,Gas,8.506226568
184,Gas,3.614481714
185,Gas,2.83537851
186,Gas,12.496877298000001
187,Gas,24.153564894
188,Gas,24.153564894
189,Gas,23.489988911999998
190,Gas,10.32507477
191,Gas,4.830749394
198,Gas,3.12761049
199,Gas,5.573437398
200,Gas,13.191952428
201,Gas,16.319562918
202,Gas,15.637870374
