Hour,Storage,Fuel,Value
1,LeadAcidBattery,Power,258.28
1,LeadAcidBattery,Heat,0.0
1,LeadAcidBattery,Mobility,0.0
1,LeadAcidBattery,Cooking,0.0
1,LeadAcidBattery,Diesel,0.0
1,LeadAcidBattery,FireWood,0.0
1,LeadAcidBattery,Gas,0.0
2,LeadAcidBattery,Power,258.28
2,LeadAcidBattery,Heat,0.0
2,LeadAcidBattery,Mobility,0.0
2,LeadAcidBattery,Cooking,0.0
2,LeadAcidBattery,Diesel,0.0
2,LeadAcidBattery,FireWood,0.0
2,LeadAcidBattery,Gas,0.0
3,LeadAcidBattery,Power,258.28
3,LeadAcidBattery,Heat,0.0
3,LeadAcidBattery,Mobility,0.0
3,LeadAcidBattery,Cooking,0.0
3,LeadAcidBattery,Diesel,0.0
3,LeadAcidBattery,FireWood,0.0
3,LeadAcidBattery,Gas,0.0
4,LeadAcidBattery,Power,258.28
4,LeadAcidBattery,Heat,0.0
4,LeadAcidBattery,Mobility,0.0
4,LeadAcidBattery,Cooking,0.0
4,LeadAcidBattery,Diesel,0.0
4,LeadAcidBattery,FireWood,0.0
4,LeadAcidBattery,Gas,0.0
5,LeadAcidBattery,Power,258.93102587382
5,LeadAcidBattery,Heat,0.0
5,LeadAcidBattery,Mobility,0.0
5,LeadAcidBattery,Cooking,0.0
5,LeadAcidBattery,Diesel,0.0
5,LeadAcidBattery,FireWood,0.0
5,LeadAcidBattery,Gas,0.0
6,LeadAcidBattery,Power,259.40693044702
6,LeadAcidBattery,Heat,0.0
6,LeadAcidBattery,Mobility,0.0
6,LeadAcidBattery,Cooking,0.0
6,LeadAcidBattery,Diesel,0.0
6,LeadAcidBattery,FireWood,0.0
6,LeadAcidBattery,Gas,0.0
7,LeadAcidBattery,Power,259.40693044702
7,LeadAcidBattery,Heat,0.0
7,LeadAcidBattery,Mobility,0.0
7,LeadAcidBattery,Cooking,0.0
7,LeadAcidBattery,Diesel,0.0
7,LeadAcidBattery,FireWood,0.0
7,LeadAcidBattery,Gas,0.0
8,LeadAcidBattery,Power,259.40693044702
8,LeadAcidBattery,Heat,0.0
8,LeadAcidBattery,Mobility,0.0
