Hour,Technology,Value
1,SolarPV,
1,WindOnshore,
1,HydroPower,
1,DieselGenerator,
1,DieselImport,
1,Forest,
1,GasImport,
1,GasStove,
1,ICEVehicle,
1,WoodBurner,
2,SolarPV,
2,WindOnshore,
2,HydroPower,
2,DieselGenerator,
2,DieselImport,
2,Forest,
2,GasImport,
2,GasStove,
2,ICEVehicle,
2,WoodBurner,
3,SolarPV,
3,WindOnshore,
3,HydroPower,
3,DieselGenerator,
3,DieselImport,
3,Forest,
3,GasImport,
3,GasStove,
3,ICEVehicle,
3,WoodBurner,
4,SolarPV,
4,WindOnshore,
4,HydroPower,
4,DieselGenerator,
4,DieselImport,
4,Forest,
4,GasImport,
4,GasStove,
4,ICEVehicle,
4,WoodBurner,
5,SolarPV,
5,WindOnshore,
5,HydroPower,
5,DieselGenerator,
5,DieselImport,
5,Forest,
5,GasImport,
5,GasStove,
5,ICEVehicle,
5,WoodBurner,
6,SolarPV,
6,WindOnshore,
6,HydroPower,
6,DieselGenerator,
6,DieselImport,
6,Forest,
6,GasImport,
6,GasStove,
6,ICEVehicle,
6,WoodBurner,
7,SolarPV,
7,WindOnshore,
7,HydroPower,
7,DieselGenerator,
7,DieselImport,
7,Forest,
7,GasImport,
7,GasStove,
7,ICEVehicle,
7,WoodBurner,
8,SolarPV,
8,WindOnshore,
8,HydroPower,
8,DieselGenerator,
8,DieselImport,
8,Forest,
8,GasImport,
8,GasStove,
8,ICEVehicle,
8,WoodBurner,
9,SolarPV,
9,WindOnshore,
9,HydroPower,
9,DieselGenerator,
9,DieselImport,
9,Forest,
9,GasImport,
9,GasStove,
9,ICEVehicle,
9,WoodBurner,
10,SolarPV,
10,WindOnshore,
10,HydroPower,
10,DieselGenerator,
10,DieselImport,
10,Forest,
10,GasImport,
10,GasStove,
10,ICEVehicle,
10,WoodBurner,
11,SolarPV,
11,WindOnshore,
11,HydroPower,
11,DieselGenerator,
11,DieselImport,
11,Forest,
11,GasImport,
11,GasStove,
11,ICEVehicle,
11,WoodBurner,
12,SolarPV,
12,WindOnshore,
12,HydroPower,
12,DieselGenerator,
12,DieselImport,
12,Forest,
12,GasImport,
12,GasStove,
12,ICEVehicle,
12,WoodBurner,
13,SolarPV,
13,WindOnshore,
13,HydroPower,
13,DieselGenerator,
13,DieselImport,
13,Forest,
13,GasImport,
13,GasStove,
13,ICEVehicle,
13,WoodBurner,
14,SolarPV,
14,WindOnshore,
14,HydroPower,
14,DieselGenerator,
14,DieselImport,
14,Forest,
14,GasImport,
14,GasStove,
14,ICEVehicle,
14,WoodBurner,
15,SolarPV,
15,WindOnshore,
15,HydroPower,
15,DieselGenerator,
15,DieselImport,
15,Forest,
15,GasImport,
15,GasStove,
15,ICEVehicle,
15,WoodBurner,
16,SolarPV,
16,WindOnshore,
16,HydroPower,
16,DieselGenerator,
16,DieselImport,
16,Forest,
16,GasImport,
16,GasStove,
16,ICEVehicle,
16,WoodBurner,
17,SolarPV,
17,WindOnshore,
17,HydroPower,
17,DieselGenerator,
17,DieselImport,
17,Forest,
17,GasImport,
17,GasStove,
