Hour,Fuel,Value
1,Power,-0.0
1,Heat,-0.0
1,Mobility,-0.0
1,Cooking,-0.0
1,Diesel,-0.0
1,FireWood,-0.0
1,Gas,-0.0
2,Power,-0.0
2,Heat,-0.0
2,Mobility,-0.0
2,Cooking,-0.0
2,Diesel,-0.0
2,FireWood,-0.0
2,Gas,-0.0
3,Power,-0.0
3,Heat,-0.0
3,Mobility,-0.0
3,Cooking,-0.0
3,Diesel,-0.0
3,FireWood,-0.0
3,Gas,-0.0
4,Power,-0.0
4,Heat,-0.0
4,Mobility,-0.0
4,Cooking,-0.0
4,Diesel,-0.0
4,FireWood,-0.0
4,Gas,-0.0
5,Power,-0.0
5,Heat,-0.0
5,Mobility,-0.0
5,Cooking,-0.0
5,Diesel,-0.0
5,FireWood,-0.0
5,Gas,-0.0
6,Power,-0.0
6,Heat,-0.0
6,Mobility,-0.0
6,Cooking,-0.0
6,Diesel,-0.0
6,FireWood,-0.0
6,Gas,-0.0
7,Power,-0.0
7,Heat,-0.0
7,Mobility,-0.0
7,Cooking,-0.0
7,Diesel,-0.0
7,FireWood,-0.0
7,Gas,-0.0
8,Power,-0.0
8,Heat,-0.0
8,Mobility,-0.0
8,Cooking,-0.0
8,Diesel,-0.0
8,FireWood,-0.0
8,Gas,-0.0
9,Power,-0.0
9,Heat,-0.0
9,Mobility,-0.0
9,Cooking,-0.0
9,Diesel,-0.0
9,FireWood,-0.0
9,Gas,-0.0
10,Power,-0.0
10,Heat,-0.0
10,Mobility,-0.0
10,Cooking,-0.0
10,Diesel,-0.0
10,FireWood,-0.0
10,Gas,-0.0
11,Power,-0.0
11,Heat,-0.0
11,Mobility,-0.0
11,Cooking,-0.0
11,Diesel,-0.0
11,FireWood,-0.0
11,Gas,-0.0
12,Power,-0.0
12,Heat,-0.0
12,Mobility,-0.0
12,Cooking,-0.0
12,Diesel,-0.0
12,FireWood,-0.0
12,Gas,-0.0
13,Power,-0.0
13,Heat,-0.0
13,Mobility,-0.0
13,Cooking,-0.0
13,Diesel,-0.0
13,FireWood,-0.0
13,Gas,-0.0
14,Power,-0.0
14,Heat,-0.0
14,Mobility,-0.0
14,Cooking,-0.0
14,Diesel,-0.0
14,FireWood,-0.0
14,Gas,-0.0
15,Power,-0.0
15,Heat,-0.0
15,Mobility,-0.0
15,Cooking,-0.0
15,Diesel,-0.0
15,FireWood,-0.0
15,Gas,-0.0
16,Power,-0.0
16,Heat,-0.0
16,Mobility,-0.0
16,Cooking,-0.0
16,Diesel,-0.0
16,FireWood,-0.0
16,Gas,-0.0
17,Power,-0.0
17,Heat,-0.0
17,Mobility,-0.0
17,Cooking,-0.0
17,Diesel,-0.0
17,FireWood,-0.0
17,Gas,-0.0
18,Power,-0.0
18,Heat,-0.0
18,Mobility,-0.0
18,Cooking,-0.0
18,Diesel,-0.0
18,FireWood,-0.0
18,Gas,-0.0
19,Power,-0.0
19,Heat,-0.0
19,Mobility,-0.0
