Hour,Storage,Fuel,Value
1,LeadAcidBattery,Power,216.46068850336
1,LeadAcidBattery,Diesel,0.0
2,LeadAcidBattery,Power,219.1601616241
2,LeadAcidBattery,Diesel,0.0
3,LeadAcidBattery,Power,221.03131114984
3,LeadAcidBattery,Diesel,0.0
4,LeadAcidBattery,Power,223.61531072536002
4,LeadAcidBattery,Diesel,0.0
5,LeadAcidBattery,Power,228.15614333002003
5,LeadAcidBattery,Diesel,0.0
6,LeadAcidBattery,Power,232.58155490434004
6,LeadAcidBattery,Diesel,0.0
7,LeadAcidBattery,Power,236.58777931246004
7,LeadAcidBattery,Diesel,0.0
8,LeadAcidBattery,Power,239.89119026704003
8,LeadAcidBattery,Diesel,0.0
9,LeadAcidBattery,Power,244.12832842372003
9,LeadAcidBattery,Diesel,0.0
10,LeadAcidBattery,Power,247.31088512962003
10,LeadAcidBattery,Diesel,0.0
11,LeadAcidBattery,Power,254.84937466336004
11,LeadAcidBattery,Diesel,0.0
12,LeadAcidBattery,Power,270.23731650076
12,LeadAcidBattery,Diesel,0.0
13,LeadAcidBattery,Power,288.7496383402
13,LeadAcidBattery,Diesel,0.0
14,LeadAcidBattery,Power,308.04600408556
14,LeadAcidBattery,Diesel,0.0
15,LeadAcidBattery,Power,312.55571854954
15,LeadAcidBattery,Diesel,0.0
16,LeadAcidBattery,Power,309.06616638287335
16,LeadAcidBattery,Diesel,0.0
17,LeadAcidBattery,Power,297.9523765177218
17,LeadAcidBattery,Diesel,0.0
18,LeadAcidBattery,Power,289.97533520711573
18,LeadAcidBattery,Diesel,0.0
19,LeadAcidBattery,Power,276.86935086923694
19,LeadAcidBattery,Diesel,0.0
20,LeadAcidBattery,Power,262.6117426025703
20,LeadAcidBattery,Diesel,0.0
21,LeadAcidBattery,Power,252.5664168268127
21,LeadAcidBattery,Diesel,0.0
22,LeadAcidBattery,Power,245.87690705560058
22,LeadAcidBattery,Diesel,0.0
23,LeadAcidBattery,Power,246.02872592566058
23,LeadAcidBattery,Diesel,0.0
24,LeadAcidBattery,Power,247.8997502381806
24,LeadAcidBattery,Diesel,0.0
25,LeadAcidBattery,Power,251.8845867681406
25,LeadAcidBattery,Diesel,0.0
26,LeadAcidBattery,Power,257.76870259210057
26,LeadAcidBattery,Diesel,0.0
27,LeadAcidBattery,Power,263.6389306881406
27,LeadAcidBattery,Diesel,0.0
28,LeadAcidBattery,Power,270.0032858021806
28,LeadAcidBattery,Diesel,0.0
29,LeadAcidBattery,Power,277.54610478214056
29,LeadAcidBattery,Diesel,0.0
30,LeadAcidBattery,Power,283.84271394010057
30,LeadAcidBattery,Diesel,0.0
31,LeadAcidBattery,Power,290.5431199381006
31,LeadAcidBattery,Diesel,0.0
32,LeadAcidBattery,Power,295.05596313010057
32,LeadAcidBattery,Diesel,0.0
33,LeadAcidBattery,Power,299.12503895806054
33,LeadAcidBattery,Diesel,0.0
34,LeadAcidBattery,Power,300.6015162817005
34,LeadAcidBattery,Diesel,0.0
35,LeadAcidBattery,Power,297.31382701351873
35,LeadAcidBattery,Diesel,0.0
36,LeadAcidBattery,Power,297.87955314745875
36,LeadAcidBattery,Diesel,0.0
37,LeadAcidBattery,Power,296.6098175656406
37,LeadAcidBattery,Diesel,0.0
38,LeadAcidBattery,Power,296.6638753118006
38,LeadAcidBattery,Diesel,0.0
39,LeadAcidBattery,Power,294.08652087240665
39,LeadAcidBattery,Diesel,0.0
40,LeadAcidBattery,Power,296.21961010716666
40,LeadAcidBattery,Diesel,0.0
41,LeadAcidBattery,Power,297.0743607608467
41,LeadAcidBattery,Diesel,0.0
42,LeadAcidBattery,Power,287.44571742599817
42,LeadAcidBattery,Diesel,0.0
43,LeadAcidBattery,Power,280.6807231684224
43,LeadAcidBattery,Diesel,0.0
44,LeadAcidBattery,Power,271.82474988811936
44,LeadAcidBattery,Diesel,0.0
45,LeadAcidBattery,Power,257.9913788669072
45,LeadAcidBattery,Diesel,0.0
46,LeadAcidBattery,Power,248.93859268508902
46,LeadAcidBattery,Diesel,0.0
47,LeadAcidBattery,Power,245.55992014872538
47,LeadAcidBattery,Diesel,0.0
48,LeadAcidBattery,Power,249.42927001068537
48,LeadAcidBattery,Diesel,0.0
49,LeadAcidBattery,Power,253.58260513068538
49,LeadAcidBattery,Diesel,0.0
50,LeadAcidBattery,Power,257.94785463468537
50,LeadAcidBattery,Diesel,0.0
51,LeadAcidBattery,Power,263.4498981746454
51,LeadAcidBattery,Diesel,0.0
52,LeadAcidBattery,Power,270.59153258664537
52,LeadAcidBattery,Diesel,0.0
53,LeadAcidBattery,Power,277.2833287566054
53,LeadAcidBattery,Diesel,0.0
54,LeadAcidBattery,Power,284.1201529886454
54,LeadAcidBattery,Diesel,0.0
55,LeadAcidBattery,Power,289.37815512264535
55,LeadAcidBattery,Diesel,0.0
56,LeadAcidBattery,Power,292.05777235260535
56,LeadAcidBattery,Diesel,0.0
57,LeadAcidBattery,Power,294.31967168460534
57,LeadAcidBattery,Diesel,0.0
58,LeadAcidBattery,Power,294.8820164992853
58,LeadAcidBattery,Diesel,0.0
59,LeadAcidBattery,Power,299.6974011126653
59,LeadAcidBattery,Diesel,0.0
60,LeadAcidBattery,Power,304.5661979361053
60,LeadAcidBattery,Diesel,0.0
61,LeadAcidBattery,Power,306.7323417205253
61,LeadAcidBattery,Diesel,0.0
62,LeadAcidBattery,Power,310.56969267510533
62,LeadAcidBattery,Diesel,0.0
63,LeadAcidBattery,Power,317.2823092050653
63,LeadAcidBattery,Diesel,0.0
64,LeadAcidBattery,Power,319.50780356736533
64,LeadAcidBattery,Diesel,0.0
65,LeadAcidBattery,Power,311.1592273719108
65,LeadAcidBattery,Diesel,0.0
66,LeadAcidBattery,Power,292.1819854749411
66,LeadAcidBattery,Diesel,0.0
67,LeadAcidBattery,Power,282.88642475069867
67,LeadAcidBattery,Diesel,0.0
68,LeadAcidBattery,Power,271.4093813128199
68,LeadAcidBattery,Diesel,0.0
69,LeadAcidBattery,Power,257.1671409310017
69,LeadAcidBattery,Diesel,0.0
70,LeadAcidBattery,Power,233.03824709766837
70,LeadAcidBattery,Diesel,0.0
71,LeadAcidBattery,Power,216.47789081736533
71,LeadAcidBattery,Diesel,0.0
72,LeadAcidBattery,Power,205.49299995524413
72,LeadAcidBattery,Diesel,0.0
73,LeadAcidBattery,Power,203.33395941130473
73,LeadAcidBattery,Diesel,0.0
74,LeadAcidBattery,Power,203.92800134836475
74,LeadAcidBattery,Diesel,0.0
75,LeadAcidBattery,Power,210.38618523040475
75,LeadAcidBattery,Diesel,0.0
76,LeadAcidBattery,Power,216.60034104244474
76,LeadAcidBattery,Diesel,0.0
77,LeadAcidBattery,Power,222.43153159444475
77,LeadAcidBattery,Diesel,0.0
78,LeadAcidBattery,Power,227.92404565048474
78,LeadAcidBattery,Diesel,0.0
79,LeadAcidBattery,Power,230.34142883848475
79,LeadAcidBattery,Diesel,0.0
80,LeadAcidBattery,Power,232.04496044452475
80,LeadAcidBattery,Diesel,0.0
81,LeadAcidBattery,Power,229.9842811581611
81,LeadAcidBattery,Diesel,0.0
82,LeadAcidBattery,Power,222.5886999521005
82,LeadAcidBattery,Diesel,0.0
83,LeadAcidBattery,Power,213.54190398240354
83,LeadAcidBattery,Diesel,0.0
