Hour,Technology,Value
1,SolarPV,
1,WindOnshore,
1,HydroPower,
1,DieselGenerator,
1,DieselImports,
2,SolarPV,
2,WindOnshore,
2,HydroPower,
2,DieselGenerator,
2,DieselImports,
3,SolarPV,
3,WindOnshore,
3,HydroPower,
3,DieselGenerator,
3,DieselImports,
4,SolarPV,
4,WindOnshore,
4,HydroPower,
4,DieselGenerator,
4,DieselImports,
5,SolarPV,
5,WindOnshore,
5,HydroPower,
5,DieselGenerator,
5,DieselImports,
6,SolarPV,
6,WindOnshore,
6,HydroPower,
6,DieselGenerator,
6,DieselImports,
7,SolarPV,
7,WindOnshore,
7,HydroPower,
7,DieselGenerator,
7,DieselImports,
8,SolarPV,
8,WindOnshore,
8,HydroPower,
8,DieselGenerator,
8,DieselImports,
9,SolarPV,
9,WindOnshore,
9,HydroPower,
9,DieselGenerator,
9,DieselImports,
10,SolarPV,
10,WindOnshore,
10,HydroPower,
10,DieselGenerator,
10,DieselImports,
11,SolarPV,
11,WindOnshore,
11,HydroPower,
11,DieselGenerator,
11,DieselImports,
12,SolarPV,
12,WindOnshore,
12,HydroPower,
12,DieselGenerator,
12,DieselImports,
13,SolarPV,
13,WindOnshore,
13,HydroPower,
13,DieselGenerator,
13,DieselImports,
14,SolarPV,
14,WindOnshore,
14,HydroPower,
14,DieselGenerator,
14,DieselImports,
15,SolarPV,
15,WindOnshore,
15,HydroPower,
15,DieselGenerator,
15,DieselImports,
16,SolarPV,
16,WindOnshore,
16,HydroPower,
16,DieselGenerator,
16,DieselImports,
17,SolarPV,
17,WindOnshore,
17,HydroPower,
17,DieselGenerator,
17,DieselImports,
18,SolarPV,
18,WindOnshore,
18,HydroPower,
18,DieselGenerator,
18,DieselImports,
19,SolarPV,
19,WindOnshore,
19,HydroPower,
19,DieselGenerator,
19,DieselImports,
20,SolarPV,
20,WindOnshore,
20,HydroPower,
20,DieselGenerator,
20,DieselImports,
21,SolarPV,
21,WindOnshore,
21,HydroPower,
21,DieselGenerator,
21,DieselImports,
22,SolarPV,
22,WindOnshore,
22,HydroPower,
22,DieselGenerator,
22,DieselImports,
23,SolarPV,
23,WindOnshore,
23,HydroPower,
23,DieselGenerator,
23,DieselImports,
24,SolarPV,
24,WindOnshore,
24,HydroPower,
24,DieselGenerator,
24,DieselImports,
25,SolarPV,
25,WindOnshore,
25,HydroPower,
25,DieselGenerator,
25,DieselImports,
26,SolarPV,
26,WindOnshore,
26,HydroPower,
26,DieselGenerator,
26,DieselImports,
27,SolarPV,
27,WindOnshore,
27,HydroPower,
27,DieselGenerator,
27,DieselImports,
28,SolarPV,
28,WindOnshore,
28,HydroPower,
28,DieselGenerator,
28,DieselImports,
29,SolarPV,
29,WindOnshore,
29,HydroPower,
29,DieselGenerator,
29,DieselImports,
30,SolarPV,
30,WindOnshore,
30,HydroPower,
30,DieselGenerator,
30,DieselImports,
31,SolarPV,
31,WindOnshore,
31,HydroPower,
31,DieselGenerator,
31,DieselImports,
32,SolarPV,
32,WindOnshore,
32,HydroPower,
32,DieselGenerator,
32,DieselImports,
33,SolarPV,
