Hour,Storage,Fuel,Value
1,LeadAcidBattery,Power,538.0
1,LeadAcidBattery,Diesel,0.0
2,LeadAcidBattery,Power,547.00247312206
2,LeadAcidBattery,Diesel,0.0
3,LeadAcidBattery,Power,554.69812264648
3,LeadAcidBattery,Diesel,0.0
4,LeadAcidBattery,Power,563.403622222
4,LeadAcidBattery,Diesel,0.0
5,LeadAcidBattery,Power,574.37945482534
5,LeadAcidBattery,Diesel,0.0
6,LeadAcidBattery,Power,585.3223663996599
6,LeadAcidBattery,Diesel,0.0
7,LeadAcidBattery,Power,595.9615908090999
7,LeadAcidBattery,Diesel,0.0
8,LeadAcidBattery,Power,606.2775017623599
8,LeadAcidBattery,Diesel,0.0
9,LeadAcidBattery,Power,606.2775017623599
9,LeadAcidBattery,Diesel,0.0
10,LeadAcidBattery,Power,616.6870584669399
10,LeadAcidBattery,Diesel,0.0
11,LeadAcidBattery,Power,630.6605479993599
11,LeadAcidBattery,Diesel,0.0
12,LeadAcidBattery,Power,652.4009898367599
12,LeadAcidBattery,Diesel,0.0
13,LeadAcidBattery,Power,676.9358116748799
13,LeadAcidBattery,Diesel,0.0
14,LeadAcidBattery,Power,702.3206774202399
14,LeadAcidBattery,Diesel,0.0
15,LeadAcidBattery,Power,712.4238918842199
15,LeadAcidBattery,Diesel,0.0
16,LeadAcidBattery,Power,716.9263429590999
16,LeadAcidBattery,Diesel,0.0
17,LeadAcidBattery,Power,598.7884422125035
17,LeadAcidBattery,Diesel,0.0
18,LeadAcidBattery,Power,601.5341430176035
18,LeadAcidBattery,Diesel,0.0
19,LeadAcidBattery,Power,601.8971762400234
19,LeadAcidBattery,Diesel,0.0
20,LeadAcidBattery,Power,601.0486588794174
20,LeadAcidBattery,Diesel,0.0
21,LeadAcidBattery,Power,601.0486588794174
21,LeadAcidBattery,Diesel,0.0
22,LeadAcidBattery,Power,604.1572084243974
22,LeadAcidBattery,Diesel,0.0
23,LeadAcidBattery,Power,610.1170272957773
23,LeadAcidBattery,Diesel,0.0
24,LeadAcidBattery,Power,617.8785516082974
24,LeadAcidBattery,Diesel,0.0
25,LeadAcidBattery,Power,627.7208881395774
25,LeadAcidBattery,Diesel,0.0
26,LeadAcidBattery,Power,627.7208881395774
26,LeadAcidBattery,Diesel,0.0
27,LeadAcidBattery,Power,639.2011162342974
