Year,Technology,Type,Value
2026,SolarPV,NewCapacity,0.0
2026,WindOnshore,NewCapacity,0.0
2026,HydroPower,NewCapacity,0.0
2026,Tidal,NewCapacity,0.0
2026,DieselGenerator,NewCapacity,0.0
2026,DieselImport,NewCapacity,45.0
2026,Forest,NewCapacity,400.0
2026,GasImport,NewCapacity,47.0
2026,GasStove,NewCapacity,5.0
2026,ICEVehicle,NewCapacity,15.0
2026,WoodBurner,NewCapacity,200.0
2028,SolarPV,NewCapacity,0.0
2028,WindOnshore,NewCapacity,0.0
2028,HydroPower,NewCapacity,0.0
2028,Tidal,NewCapacity,0.0
2028,DieselGenerator,NewCapacity,0.0
2028,DieselImport,NewCapacity,6.0
2028,Forest,NewCapacity,15.0
2028,GasImport,NewCapacity,1.0
2028,GasStove,NewCapacity,0.0
2028,ICEVehicle,NewCapacity,2.0
2028,WoodBurner,NewCapacity,8.0
2030,SolarPV,NewCapacity,0.0
2030,WindOnshore,NewCapacity,0.0
2030,HydroPower,NewCapacity,0.0
2030,Tidal,NewCapacity,0.0
2030,DieselGenerator,NewCapacity,0.0
2030,DieselImport,NewCapacity,95.0
2030,Forest,NewCapacity,15.0
2030,GasImport,NewCapacity,7.0
2030,GasStove,NewCapacity,1.0
2030,ICEVehicle,NewCapacity,3.0
2030,WoodBurner,NewCapacity,8.0
2026,SolarPV,TotalCapacity,182.0
2026,WindOnshore,TotalCapacity,24.0
2026,HydroPower,TotalCapacity,112.0
2026,Tidal,TotalCapacity,0.0
2026,DieselGenerator,TotalCapacity,76.0
2026,DieselImport,TotalCapacity,45.0
2026,Forest,TotalCapacity,400.0
2026,GasImport,TotalCapacity,47.0
2026,GasStove,TotalCapacity,5.0
2026,ICEVehicle,TotalCapacity,15.0
2026,WoodBurner,TotalCapacity,200.0
2028,SolarPV,TotalCapacity,182.0
2028,WindOnshore,TotalCapacity,24.0
2028,HydroPower,TotalCapacity,112.0
2028,Tidal,TotalCapacity,0.0
2028,DieselGenerator,TotalCapacity,76.0
2028,DieselImport,TotalCapacity,51.0
2028,Forest,TotalCapacity,415.0
2028,GasImport,TotalCapacity,48.0
2028,GasStove,TotalCapacity,5.0
2028,ICEVehicle,TotalCapacity,17.0
2028,WoodBurner,TotalCapacity,208.0
2030,SolarPV,TotalCapacity,182.0
2030,WindOnshore,TotalCapacity,24.0
2030,HydroPower,TotalCapacity,112.0
2030,Tidal,TotalCapacity,0.0
2030,DieselGenerator,TotalCapacity,76.0
2030,DieselImport,TotalCapacity,146.0
2030,Forest,TotalCapacity,430.0
2030,GasImport,TotalCapacity,55.0
2030,GasStove,TotalCapacity,6.0
2030,ICEVehicle,TotalCapacity,20.0
2030,WoodBurner,TotalCapacity,216.0
