technology,hour,value
WindOnshore,1,0.27
WindOnshore,2,0.24
WindOnshore,3,0.12
WindOnshore,4,0.21
WindOnshore,5,0.31
WindOnshore,6,0.31
WindOnshore,7,0.29
WindOnshore,8,0.37
WindOnshore,9,0.53
WindOnshore,10,0.41
WindOnshore,11,0.21
WindOnshore,12,0.19
WindOnshore,13,0.12
WindOnshore,14,0.14
WindOnshore,15,0.01
WindOnshore,16,0.12
WindOnshore,17,0.20
WindOnshore,18,0.19
WindOnshore,19,0.15
WindOnshore,20,0.11
WindOnshore,21,0.10
WindOnshore,22,0.15
WindOnshore,23,0.12
WindOnshore,24,0.14
WindOnshore,25,0.13
WindOnshore,26,0.12
WindOnshore,27,0.08
WindOnshore,28,0.15
WindOnshore,29,0.19
WindOnshore,30,0.20
WindOnshore,31,0.33
WindOnshore,32,0.19
WindOnshore,33,0.19
WindOnshore,34,0.14
WindOnshore,35,0.09
WindOnshore,36,0.12
WindOnshore,37,0.14
WindOnshore,38,0.08
WindOnshore,39,0.05
WindOnshore,40,0.19
WindOnshore,41,0.22
WindOnshore,42,0.14
WindOnshore,43,0.14
WindOnshore,44,0.12
WindOnshore,45,0.11
WindOnshore,46,0.22
WindOnshore,47,0.21
WindOnshore,48,0.19
WindOnshore,49,0.16
WindOnshore,50,0.11
WindOnshore,51,0.07
WindOnshore,52,0.15
WindOnshore,53,0.12
WindOnshore,54,0.12
WindOnshore,55,0.14
WindOnshore,56,0.12
WindOnshore,57,0.14
WindOnshore,58,0.08
WindOnshore,59,0.34
WindOnshore,60,0.35
WindOnshore,61,0.21
WindOnshore,62,0.31
WindOnshore,63,0.37
WindOnshore,64,0.37
WindOnshore,65,0.27
WindOnshore,66,0.21
WindOnshore,67,0.20
WindOnshore,68,0.17
WindOnshore,69,0.13
WindOnshore,70,0.14
WindOnshore,71,0.13
WindOnshore,72,0.12
WindOnshore,73,0.10
WindOnshore,74,0.13
WindOnshore,75,0.20
WindOnshore,76,0.18
WindOnshore,77,0.11
WindOnshore,78,0.07
WindOnshore,79,0.05
WindOnshore,80,0.03
WindOnshore,81,0.05
WindOnshore,82,0.13
WindOnshore,83,0.12
WindOnshore,84,0.06
WindOnshore,85,0.03
WindOnshore,86,0.03
WindOnshore,87,0.06
WindOnshore,88,0.08
WindOnshore,89,0.08
WindOnshore,90,0.13
WindOnshore,91,0.18
WindOnshore,92,0.21
WindOnshore,93,0.20
WindOnshore,94,0.15
WindOnshore,95,0.15
WindOnshore,96,0.17
WindOnshore,97,0.21
WindOnshore,98,0.28
WindOnshore,99,0.25
WindOnshore,100,0.25
WindOnshore,101,0.17
WindOnshore,102,0.19
WindOnshore,103,0.24
WindOnshore,104,0.30
WindOnshore,105,0.28
WindOnshore,106,0.23
WindOnshore,107,0.20
WindOnshore,108,0.15
WindOnshore,109,0.12
WindOnshore,110,0.15
WindOnshore,111,0.15
WindOnshore,112,0.14
WindOnshore,113,0.15
WindOnshore,114,0.21
WindOnshore,115,0.20
WindOnshore,116,0.18
WindOnshore,117,0.13
WindOnshore,118,0.10
WindOnshore,119,0.09
WindOnshore,120,0.05
WindOnshore,121,0.02
WindOnshore,122,0.01
WindOnshore,123,0.00
WindOnshore,124,0.00
WindOnshore,125,0.00
WindOnshore,126,0.00
WindOnshore,127,0.00
WindOnshore,128,0.00
WindOnshore,129,0.00
WindOnshore,130,0.00
WindOnshore,131,0.18
WindOnshore,132,0.24
WindOnshore,133,0.45
WindOnshore,134,0.53
WindOnshore,135,0.58
WindOnshore,136,0.53
WindOnshore,137,0.35
WindOnshore,138,0.68
WindOnshore,139,0.68
WindOnshore,140,0.73
WindOnshore,141,0.62
WindOnshore,142,0.55
WindOnshore,143,0.32
WindOnshore,144,0.00
WindOnshore,145,0.00
WindOnshore,146,0.24
WindOnshore,147,0.18
WindOnshore,148,0.20
WindOnshore,149,0.14
WindOnshore,150,0.05
WindOnshore,151,0.03
WindOnshore,152,0.03
WindOnshore,153,0.04
WindOnshore,154,0.12
WindOnshore,155,0.09
WindOnshore,156,0.01
WindOnshore,157,0.00
WindOnshore,158,0.06
WindOnshore,159,0.19
WindOnshore,160,0.21
WindOnshore,161,0.66
WindOnshore,162,0.48
WindOnshore,163,0.40
WindOnshore,164,0.18
WindOnshore,165,0.28
WindOnshore,166,0.50
WindOnshore,167,0.40
WindOnshore,168,0.33
WindOnshore,169,0.28
WindOnshore,170,0.28
WindOnshore,171,0.29
WindOnshore,172,0.23
WindOnshore,173,0.18
WindOnshore,174,0.23
WindOnshore,175,0.14
WindOnshore,176,0.26
WindOnshore,177,0.17
WindOnshore,178,0.14
WindOnshore,179,0.06
WindOnshore,180,0.13
WindOnshore,181,0.00
WindOnshore,182,0.03
WindOnshore,183,0.00
WindOnshore,184,0.00
WindOnshore,185,0.00
WindOnshore,186,0.00
WindOnshore,187,0.00
WindOnshore,188,0.00
WindOnshore,189,0.00
WindOnshore,190,0.02
WindOnshore,191,0.24
WindOnshore,192,0.34
WindOnshore,193,0.43
WindOnshore,194,0.53
WindOnshore,195,0.57
WindOnshore,196,0.71
WindOnshore,197,0.95
WindOnshore,198,0.97
WindOnshore,199,1.01
WindOnshore,200,1.02
WindOnshore,201,1.02
WindOnshore,202,1.02
WindOnshore,203,1.01
WindOnshore,204,0.67
WindOnshore,205,0.92
WindOnshore,206,0.90
WindOnshore,207,0.92
WindOnshore,208,0.93
WindOnshore,209,0.91
WindOnshore,210,0.92
WindOnshore,211,0.32
WindOnshore,212,0.18
WindOnshore,213,0.11
WindOnshore,214,0.08
WindOnshore,215,0.09
WindOnshore,216,0.04
WindOnshore,217,0.00
WindOnshore,218,0.00
WindOnshore,219,0.03
WindOnshore,220,0.01
WindOnshore,221,0.02
WindOnshore,222,0.05
WindOnshore,223,0.10
WindOnshore,224,0.18
WindOnshore,225,0.29
WindOnshore,226,0.23
WindOnshore,227,0.66
WindOnshore,228,0.75
WindOnshore,229,0.77
WindOnshore,230,0.64
WindOnshore,231,0.82
WindOnshore,232,0.63
WindOnshore,233,0.56
WindOnshore,234,0.79
WindOnshore,235,0.81
WindOnshore,236,0.58
WindOnshore,237,0.75
WindOnshore,238,0.83
WindOnshore,239,1.00
WindOnshore,240,1.00
WindOnshore,241,1.00
WindOnshore,242,1.00
WindOnshore,243,0.96
WindOnshore,244,1.00
WindOnshore,245,0.98
WindOnshore,246,0.99
WindOnshore,247,0.99
WindOnshore,248,1.00
WindOnshore,249,0.95
WindOnshore,250,1.00
WindOnshore,251,1.00
WindOnshore,252,0.98
WindOnshore,253,0.93
WindOnshore,254,0.96
WindOnshore,255,0.24
WindOnshore,256,0.55
WindOnshore,257,0.53
WindOnshore,258,0.36
WindOnshore,259,0.31
WindOnshore,260,0.48
WindOnshore,261,0.44
WindOnshore,262,0.24
WindOnshore,263,0.03
WindOnshore,264,0.02
WindOnshore,265,0.05
WindOnshore,266,0.14
WindOnshore,267,0.10
WindOnshore,268,0.19
WindOnshore,269,0.22
WindOnshore,270,0.23
WindOnshore,271,0.10
WindOnshore,272,0.12
WindOnshore,273,0.03
WindOnshore,274,0.01
WindOnshore,275,0.00
WindOnshore,276,0.00
WindOnshore,277,0.00
WindOnshore,278,0.00
WindOnshore,279,0.00
WindOnshore,280,0.00
WindOnshore,281,0.00
WindOnshore,282,0.00
WindOnshore,283,0.00
WindOnshore,284,0.00
WindOnshore,285,0.00
WindOnshore,286,0.00
WindOnshore,287,0.01
WindOnshore,288,0.03
WindOnshore,289,0.06
WindOnshore,290,0.08
WindOnshore,291,0.10
WindOnshore,292,0.15
WindOnshore,293,0.18
WindOnshore,294,0.22
WindOnshore,295,0.27
WindOnshore,296,0.23
WindOnshore,297,0.20
WindOnshore,298,0.23
WindOnshore,299,0.26
WindOnshore,300,0.21
WindOnshore,301,0.23
WindOnshore,302,0.41
WindOnshore,303,0.37
WindOnshore,304,0.45
WindOnshore,305,0.56
WindOnshore,306,0.59
WindOnshore,307,0.61
WindOnshore,308,0.65
WindOnshore,309,0.63
WindOnshore,310,0.58
WindOnshore,311,0.51
WindOnshore,312,0.36
WindOnshore,313,0.29
WindOnshore,314,0.23
WindOnshore,315,0.16
WindOnshore,316,0.18
WindOnshore,317,0.20
WindOnshore,318,0.20
WindOnshore,319,0.20
WindOnshore,320,0.19
WindOnshore,321,0.15
WindOnshore,322,0.19
WindOnshore,323,0.13
WindOnshore,324,0.26
WindOnshore,325,0.14
WindOnshore,326,0.03
WindOnshore,327,0.08
WindOnshore,328,0.00
WindOnshore,329,0.03
WindOnshore,330,0.00
WindOnshore,331,0.00
WindOnshore,332,0.03
WindOnshore,333,0.00
WindOnshore,334,0.00
WindOnshore,335,0.00
WindOnshore,336,0.00
WindOnshore,337,0.03
WindOnshore,338,0.09
WindOnshore,339,0.10
WindOnshore,340,0.10
WindOnshore,341,0.12
WindOnshore,342,0.13
WindOnshore,343,0.08
WindOnshore,344,0.11
WindOnshore,345,0.22
WindOnshore,346,0.40
WindOnshore,347,0.32
WindOnshore,348,0.41
WindOnshore,349,0.70
WindOnshore,350,0.68
WindOnshore,351,0.73
WindOnshore,352,0.71
WindOnshore,353,0.65
WindOnshore,354,0.80
WindOnshore,355,0.83
WindOnshore,356,0.90
WindOnshore,357,0.89
WindOnshore,358,0.99
WindOnshore,359,1.01
WindOnshore,360,1.02
WindOnshore,361,1.02
WindOnshore,362,1.02
WindOnshore,363,1.02
WindOnshore,364,1.02
WindOnshore,365,1.01
WindOnshore,366,0.94
WindOnshore,367,1.00
WindOnshore,368,1.00
WindOnshore,369,0.99
WindOnshore,370,0.98
WindOnshore,371,1.00
WindOnshore,372,1.00
WindOnshore,373,1.00
WindOnshore,374,1.00
WindOnshore,375,1.02
WindOnshore,376,1.00
WindOnshore,377,0.98
WindOnshore,378,0.96
WindOnshore,379,0.93
WindOnshore,380,0.97
WindOnshore,381,0.83
WindOnshore,382,0.60
WindOnshore,383,0.66
WindOnshore,384,0.73
WindOnshore,385,0.88
WindOnshore,386,0.29
WindOnshore,387,0.51
WindOnshore,388,0.66
WindOnshore,389,0.44
WindOnshore,390,0.33
WindOnshore,391,0.73
WindOnshore,392,0.53
WindOnshore,393,0.60
WindOnshore,394,0.40
WindOnshore,395,0.60
WindOnshore,396,0.53
WindOnshore,397,0.70
WindOnshore,398,0.98
WindOnshore,399,0.58
WindOnshore,400,0.71
WindOnshore,401,0.98
WindOnshore,402,0.95
WindOnshore,403,0.76
WindOnshore,404,1.01
WindOnshore,405,0.53
WindOnshore,406,1.02
WindOnshore,407,1.02
WindOnshore,408,0.91
WindOnshore,409,0.71
WindOnshore,410,0.84
WindOnshore,411,0.95
WindOnshore,412,0.85
WindOnshore,413,0.75
WindOnshore,414,0.91
WindOnshore,415,0.91
WindOnshore,416,0.49
WindOnshore,417,0.70
WindOnshore,418,0.64
WindOnshore,419,0.56
WindOnshore,420,0.89
WindOnshore,421,0.83
WindOnshore,422,0.96
WindOnshore,423,0.95
WindOnshore,424,0.93
WindOnshore,425,0.88
WindOnshore,426,0.74
WindOnshore,427,0.33
WindOnshore,428,0.57
WindOnshore,429,0.53
WindOnshore,430,0.12
WindOnshore,431,0.16
WindOnshore,432,0.07
WindOnshore,433,0.03
WindOnshore,434,0.10
WindOnshore,435,0.02
WindOnshore,436,0.08
WindOnshore,437,0.13
WindOnshore,438,0.10
WindOnshore,439,0.07
WindOnshore,440,0.10
WindOnshore,441,0.16
WindOnshore,442,0.21
WindOnshore,443,0.16
WindOnshore,444,0.15
WindOnshore,445,0.19
WindOnshore,446,0.10
WindOnshore,447,0.06
WindOnshore,448,0.04
WindOnshore,449,0.03
WindOnshore,450,0.06
WindOnshore,451,0.03
WindOnshore,452,0.09
WindOnshore,453,0.00
WindOnshore,454,0.03
WindOnshore,455,0.04
WindOnshore,456,0.19
WindOnshore,457,0.21
WindOnshore,458,0.25
WindOnshore,459,0.23
WindOnshore,460,0.24
WindOnshore,461,0.15
WindOnshore,462,0.05
WindOnshore,463,0.00
WindOnshore,464,0.00
WindOnshore,465,0.00
WindOnshore,466,0.01
WindOnshore,467,0.04
WindOnshore,468,0.03
WindOnshore,469,0.02
WindOnshore,470,0.03
WindOnshore,471,0.05
WindOnshore,472,0.13
WindOnshore,473,0.19
WindOnshore,474,0.12
WindOnshore,475,0.10
WindOnshore,476,0.06
WindOnshore,477,0.01
WindOnshore,478,0.12
WindOnshore,479,0.17
WindOnshore,480,0.12
WindOnshore,481,0.19
WindOnshore,482,0.24
WindOnshore,483,0.37
WindOnshore,484,0.72
WindOnshore,485,0.50
WindOnshore,486,0.54
WindOnshore,487,0.77
WindOnshore,488,0.67
WindOnshore,489,0.77
WindOnshore,490,0.70
WindOnshore,491,0.87
WindOnshore,492,0.72
WindOnshore,493,0.57
WindOnshore,494,0.60
WindOnshore,495,0.47
WindOnshore,496,0.65
WindOnshore,497,0.48
WindOnshore,498,0.45
WindOnshore,499,0.21
WindOnshore,500,0.32
WindOnshore,501,0.38
WindOnshore,502,0.22
WindOnshore,503,0.50
WindOnshore,504,0.35
WindOnshore,505,0.28
WindOnshore,506,0.64
WindOnshore,507,0.10
WindOnshore,508,0.19
WindOnshore,509,0.25
WindOnshore,510,0.25
WindOnshore,511,0.11
WindOnshore,512,0.23
WindOnshore,513,0.08
WindOnshore,514,0.28
WindOnshore,515,0.11
WindOnshore,516,0.00
WindOnshore,517,0.00
WindOnshore,518,0.03
WindOnshore,519,0.05
WindOnshore,520,0.21
WindOnshore,521,0.13
WindOnshore,522,0.12
WindOnshore,523,0.00
WindOnshore,524,0.00
WindOnshore,525,0.05
WindOnshore,526,0.00
WindOnshore,527,0.12
WindOnshore,528,0.06
WindOnshore,529,0.04
WindOnshore,530,0.08
WindOnshore,531,0.04
WindOnshore,532,0.03
WindOnshore,533,0.00
WindOnshore,534,0.00
WindOnshore,535,0.01
WindOnshore,536,0.17
WindOnshore,537,0.03
WindOnshore,538,0.00
WindOnshore,539,0.15
WindOnshore,540,0.07
WindOnshore,541,0.33
WindOnshore,542,0.23
WindOnshore,543,0.00
WindOnshore,544,0.66
WindOnshore,545,0.40
WindOnshore,546,0.10
WindOnshore,547,0.30
