fuel,hour,value
Power,1,0.00011
Power,2,0.0001
Power,3,0.0001
Power,4,0.0001
Power,5,0.00009
Power,6,0.0001
Power,7,0.0001
Power,8,0.00011
Power,9,0.00011
Power,10,0.00012
Power,11,0.00012
Power,12,0.00012
Power,13,0.00014
Power,14,0.00012
Power,15,0.00014
Power,16,0.00012
Power,17,0.00014
Power,18,0.00013
Power,19,0.00014
Power,20,0.00014
Power,21,0.00013
Power,22,0.00012
Power,23,0.00011
Power,24,0.0001
Power,25,0.00009
Power,26,0.00008
Power,27,0.00008
Power,28,0.00008
Power,29,0.00007
Power,30,0.00008
Power,31,0.00009
Power,32,0.00009
Power,33,0.00009
Power,34,0.0001
Power,35,0.00012
Power,36,0.00013
Power,37,0.00014
Power,38,0.00012
Power,39,0.00012
Power,40,0.0001
Power,41,0.0001
Power,42,0.00012
Power,43,0.00012
Power,44,0.00012
Power,45,0.00013
Power,46,0.00012
Power,47,0.00011
Power,48,0.00009
Power,49,0.00008
Power,50,0.00008
Power,51,0.00007
Power,52,0.00007
Power,53,0.00007
Power,54,0.00007
Power,55,0.00007
Power,56,0.00009
Power,57,0.00009
Power,58,0.00009
Power,59,0.0001
Power,60,0.0001
Power,61,0.00011
Power,62,0.00011
Power,63,0.00009
Power,64,0.0001
Power,65,0.00012
Power,66,0.00014
Power,67,0.00012
Power,68,0.00012
Power,69,0.00012
Power,70,0.00014
Power,71,0.00013
Power,72,0.00012
Power,73,0.0001
Power,74,0.00009
Power,75,0.00007
Power,76,0.00007
Power,77,0.00007
Power,78,0.00007
Power,79,0.00008
Power,80,0.00008
Power,81,0.00009
Power,82,0.00011
Power,83,0.00013
Power,84,0.00011
Power,85,0.00012
Power,86,0.00011
Power,87,0.00011
Power,88,0.0001
Power,89,0.00011
Power,90,0.00014
Power,91,0.00014
Power,92,0.00014
Power,93,0.00013
Power,94,0.00008
Power,95,0.00013
Power,96,0.0001
Power,97,0.00008
Power,98,0.00007
Power,99,0.00007
Power,100,0.00007
Power,101,0.00007
Power,102,0.00006
Power,103,0.00007
Power,104,0.00011
Power,105,0.00011
Power,106,0.00014
Power,107,0.00005
Power,108,0.00012
Power,109,0.00011
Power,110,0.00011
Power,111,0.00009
Power,112,0.00011
Power,113,0.0001
Power,114,0.00017
Power,115,0.00014
Power,116,0.00016
Power,117,0.00015
Power,118,0.00013
Power,119,0.00012
Power,120,0.00011
Power,121,0.00011
Power,122,0.00009
Power,123,0.00009
Power,124,0.00009
Power,125,0.00011
Power,126,0.00011
Power,127,0.00012
Power,128,0.00011
Power,129,0.00012
Power,130,0.00014
Power,131,0.00013
Power,132,0.00013
Power,133,0.00013
Power,134,0.00012
Power,135,0.00018
Power,136,0.00017
Power,137,0.00015
Power,138,0.00015
Power,139,0.00017
Power,140,0.00013
Power,141,0.00011
Power,142,0.00014
Power,143,0.00013
Power,144,0.00008
Power,145,0.00009
Power,146,0.00008
Power,147,0.00008
Power,148,0.00008
Power,149,0.00008
Power,150,0.00007
Power,151,0.00008
Power,152,0.00009
Power,153,0.00011
Power,154,0.00011
Power,155,0.00012
Power,156,0.00011
Power,157,0.00011
Power,158,0.00012
Power,159,0.00011
Power,160,0.00012
Power,161,0.00012
Power,162,0.00012
Power,163,0.00013
Power,164,0.00012
Power,165,0.00012
Power,166,0.00011
Power,167,0.0001
Power,168,0.00009
Power,169,0.00007
Power,170,0.00007
Power,171,0.00007
Power,172,0.00006
Power,173,0.00007
Power,174,0.00007
Power,175,0.00007
Power,176,0.00009
Power,177,0.0001
Power,178,0.0001
Power,179,0.00012
Power,180,0.00015
Power,181,0.00012
Power,182,0.00011
Power,183,0.0001
Power,184,0.0001
Power,185,0.00012
Power,186,0.00013
Power,187,0.00012
Power,188,0.00013
Power,189,0.00016
Power,190,0.00014
Power,191,0.0001
Power,192,0.0001
Power,193,0.00008
Power,194,0.00007
Power,195,0.00007
Power,196,0.00006
Power,197,0.00006
Power,198,0.00007
Power,199,0.00007
Power,200,0.00008
Power,201,0.00009
Power,202,0.00008
Power,203,0.0001
Power,204,0.0001
Power,205,0.00011
Power,206,0.00011
Power,207,0.0001
Power,208,0.00011
Power,209,0.00013
Power,210,0.00012
Power,211,0.00014
Power,212,0.00012
Power,213,0.00013
Power,214,0.00011
Power,215,0.00011
Power,216,0.00011
Power,217,0.0001
Power,218,0.00008
Power,219,0.00008
Power,220,0.00007
Power,221,0.00007
Power,222,0.00007
Power,223,0.00007
Power,224,0.00008
Power,225,0.00009
Power,226,0.00009
Power,227,0.0001
Power,228,0.00012
Power,229,0.00013
Power,230,0.00014
Power,231,0.00015
Power,232,0.00014
Power,233,0.00014
Power,234,0.00015
Power,235,0.00016
Power,236,0.00015
Power,237,0.00015
Power,238,0.00014
Power,239,0.00013
Power,240,0.00012
Power,241,0.0001
Power,242,0.00009
Power,243,0.00008
Power,244,0.00008
Power,245,0.00008
Power,246,0.00008
Power,247,0.00008
Power,248,0.0001
Power,249,0.00013
Power,250,0.00013
Power,251,0.00013
Power,252,0.00016
Power,253,0.00013
Power,254,0.00015
Power,255,0.00013
Power,256,0.00015
Power,257,0.00015
Power,258,0.00015
Power,259,0.00014
Power,260,0.00014
Power,261,0.00015
Power,262,0.00015
Power,263,0.00013
Power,264,0.00011
Power,265,0.0001
Power,266,0.0001
Power,267,0.00009
Power,268,0.00009
Power,269,0.00009
Power,270,0.00009
Power,271,0.00009
Power,272,0.00011
Power,273,0.00011
Power,274,0.00014
Power,275,0.00015
Power,276,0.00014
Power,277,0.00012
Power,278,0.00014
Power,279,0.00014
Power,280,0.00014
Power,281,0.00013
Power,282,0.00017
Power,283,0.00014
Power,284,0.00016
Power,285,0.00015
Power,286,0.00013
Power,287,0.00012
Power,288,0.00011
Power,289,0.00011
Power,290,0.00009
Power,291,0.00009
Power,292,0.00009
Power,293,0.00009
Power,294,0.00009
Power,295,0.00009
Power,296,0.0001
Power,297,0.00012
Power,298,0.00014
Power,299,0.00014
Power,300,0.00015
Power,301,0.00015
Power,302,0.00014
Power,303,0.00015
Power,304,0.00015
Power,305,0.00013
Power,306,0.00013
Power,307,0.00015
Power,308,0.00017
Power,309,0.00016
Power,310,0.00015
Power,311,0.00013
Power,312,0.00012
Power,313,0.0001
Power,314,0.00009
Power,315,0.0001
Power,316,0.00009
Power,317,0.00009
Power,318,0.00009
Power,319,0.0001
Power,320,0.00011
Power,321,0.00011
Power,322,0.00016
Power,323,0.00014
Power,324,0.00015
Power,325,0.00014
Power,326,0.00014
Power,327,0.00014
Power,328,0.00013
Power,329,0.00013
Power,330,0.00015
Power,331,0.00016
Power,332,0.00015
Power,333,0.00013
Power,334,0.00013
Power,335,0.00013
Power,336,0.00012
Power,337,0.0001
Power,338,0.0001
Power,339,0.00009
Power,340,0.00009
Power,341,0.00009
Power,342,0.00009
Power,343,0.00009
Power,344,0.00011
Power,345,0.00012
Power,346,0.00016
Power,347,0.00015
Power,348,0.00016
Power,349,0.00014
Power,350,0.00015
Power,351,0.00014
Power,352,0.00012
Power,353,0.00015
Power,354,0.00016
Power,355,0.00016
Power,356,0.00015
Power,357,0.00016
Power,358,0.00014
Power,359,0.00014
Power,360,0.00013
Power,361,0.00012
Power,362,0.0001
Power,363,0.0001
Power,364,0.00009
Power,365,0.00009
Power,366,0.00008
Power,367,0.00008
Power,368,0.0001
Power,369,0.00013
Power,370,0.00012
Power,371,0.00013
Power,372,0.00012
Power,373,0.00012
Power,374,0.00015
Power,375,0.00014
Power,376,0.00014
Power,377,0.00013
Power,378,0.00015
Power,379,0.00014
Power,380,0.00014
Power,381,0.00016
Power,382,0.00014
Power,383,0.00014
Power,384,0.00011
Power,385,0.0001
Power,386,0.0001
Power,387,0.0001
Power,388,0.00009
Power,389,0.00009
Power,390,0.00009
Power,391,0.00009
Power,392,0.0001
Power,393,0.00011
Power,394,0.00012
Power,395,0.00014
Power,396,0.00013
Power,397,0.00014
Power,398,0.00014
Power,399,0.00015
