Year,Technology,Type,Value
2026,SolarPV,NewCapacity,250.0
2026,WindOnshore,NewCapacity,0.0
2026,HydroPower,NewCapacity,0.0
2026,DieselGenerator,NewCapacity,0.0
2026,Tidal,NewCapacity,0.0
2026,DieselImport,NewCapacity,23.0
2026,Forest,NewCapacity,390.0
2026,ElectricStove,NewCapacity,4.0
2026,ElectricVehicle,NewCapacity,2.9999999999999996
2026,WoodBurner,NewCapacity,194.99999999999997
2026,ElectricHeatPump,NewCapacity,159.0
2028,SolarPV,NewCapacity,70.0
2028,WindOnshore,NewCapacity,0.0
2028,HydroPower,NewCapacity,0.0
2028,DieselGenerator,NewCapacity,0.0
2028,Tidal,NewCapacity,0.0
2028,DieselImport,NewCapacity,1.0
2028,Forest,NewCapacity,13.999999999999943
2028,ElectricStove,NewCapacity,3.0
2028,ElectricVehicle,NewCapacity,2.000000000000001
2028,WoodBurner,NewCapacity,7.000000000000057
2028,ElectricHeatPump,NewCapacity,25.0
2030,SolarPV,NewCapacity,69.99999999999993
2030,WindOnshore,NewCapacity,0.0
2030,HydroPower,NewCapacity,0.0
2030,DieselGenerator,NewCapacity,0.0
2030,Tidal,NewCapacity,300.0
2030,DieselImport,NewCapacity,0.0
2030,Forest,NewCapacity,14.000000000000057
2030,ElectricStove,NewCapacity,3.0000000000000018
2030,ElectricVehicle,NewCapacity,4.999999999999999
2030,WoodBurner,NewCapacity,6.999999999999972
2030,ElectricHeatPump,NewCapacity,151.0
2026,SolarPV,TotalCapacity,431.99999999999994
2026,WindOnshore,TotalCapacity,24.0
2026,HydroPower,TotalCapacity,112.0
2026,DieselGenerator,TotalCapacity,76.0
2026,Tidal,TotalCapacity,0.0
2026,DieselImport,TotalCapacity,23.0
2026,Forest,TotalCapacity,390.0
2026,ElectricStove,TotalCapacity,4.0
2026,ElectricVehicle,TotalCapacity,2.9999999999999996
2026,WoodBurner,TotalCapacity,194.99999999999997
2026,ElectricHeatPump,TotalCapacity,159.0
2028,SolarPV,TotalCapacity,502.0
2028,WindOnshore,TotalCapacity,24.0
2028,HydroPower,TotalCapacity,112.0
2028,DieselGenerator,TotalCapacity,76.0
2028,Tidal,TotalCapacity,0.0
2028,DieselImport,TotalCapacity,24.0
2028,Forest,TotalCapacity,403.99999999999994
2028,ElectricStove,TotalCapacity,7.0
2028,ElectricVehicle,TotalCapacity,5.000000000000001
2028,WoodBurner,TotalCapacity,202.00000000000003
2028,ElectricHeatPump,TotalCapacity,184.0
2030,SolarPV,TotalCapacity,572.0
2030,WindOnshore,TotalCapacity,24.0
2030,HydroPower,TotalCapacity,112.0
2030,DieselGenerator,TotalCapacity,76.0
2030,Tidal,TotalCapacity,300.0
2030,DieselImport,TotalCapacity,24.0
2030,Forest,TotalCapacity,418.0
2030,ElectricStove,TotalCapacity,10.000000000000002
2030,ElectricVehicle,TotalCapacity,10.0
2030,WoodBurner,TotalCapacity,209.0
2030,ElectricHeatPump,TotalCapacity,335.0
