Year,Hour,Fuel,Value
2026,1,Power,-0.0
2026,1,Heat,-0.0
2026,1,Mobility,-0.0
2026,1,Cooking,-0.0
2026,1,Diesel,-0.0
2026,1,FireWood,-0.0
2026,2,Power,-0.0
2026,2,Heat,-0.0
2026,2,Mobility,-0.0
2026,2,Cooking,-0.0
2026,2,Diesel,-0.0
2026,2,FireWood,-0.0
2026,3,Power,-0.0
2026,3,Heat,-0.0
2026,3,Mobility,-0.0
2026,3,Cooking,-0.0
2026,3,Diesel,-0.0
2026,3,FireWood,-0.0
2026,4,Power,-0.0
2026,4,Heat,-0.0
2026,4,Mobility,-0.0
2026,4,Cooking,-0.0
2026,4,Diesel,-0.0
2026,4,FireWood,-0.0
2026,5,Power,-0.0
2026,5,Heat,-2.4868995751603507e-14
2026,5,Mobility,-0.0
2026,5,Cooking,-0.0
2026,5,Diesel,-0.0
2026,5,FireWood,-0.0
2026,6,Power,-0.0
2026,6,Heat,-0.0
2026,6,Mobility,-0.0
2026,6,Cooking,-0.0
2026,6,Diesel,-0.0
2026,6,FireWood,-0.0
2026,7,Power,-0.0
2026,7,Heat,-0.0
2026,7,Mobility,-0.0
2026,7,Cooking,-0.0
2026,7,Diesel,-0.0
2026,7,FireWood,-0.0
2026,8,Power,-0.0
2026,8,Heat,-0.0
2026,8,Mobility,-0.0
2026,8,Cooking,-0.0
2026,8,Diesel,-0.0
2026,8,FireWood,-0.0
2026,9,Power,-0.0
2026,9,Heat,-0.0
2026,9,Mobility,-0.0
2026,9,Cooking,-0.0
2026,9,Diesel,-0.0
2026,9,FireWood,-0.0
2026,10,Power,-0.0
2026,10,Heat,-0.0
2026,10,Mobility,-0.0
2026,10,Cooking,-0.0
2026,10,Diesel,-0.0
2026,10,FireWood,-0.0
2026,11,Power,-0.0
2026,11,Heat,-0.0
2026,11,Mobility,-0.0
2026,11,Cooking,-0.0
2026,11,Diesel,-0.0
2026,11,FireWood,-0.0
2026,12,Power,-0.0
2026,12,Heat,-0.0
2026,12,Mobility,-0.0
2026,12,Cooking,-0.0
2026,12,Diesel,-0.0
2026,12,FireWood,-0.0
2026,13,Power,-0.0
2026,13,Heat,-0.0
2026,13,Mobility,-0.0
2026,13,Cooking,-0.0
2026,13,Diesel,-0.0
2026,13,FireWood,-0.0
2026,14,Power,-0.0
2026,14,Heat,-0.0
2026,14,Mobility,-0.0
2026,14,Cooking,-0.0
2026,14,Diesel,-0.0
2026,14,FireWood,-0.0
2026,15,Power,-0.0
2026,15,Heat,-0.0
2026,15,Mobility,-0.0
2026,15,Cooking,-0.0
2026,15,Diesel,-0.0
2026,15,FireWood,-0.0
2026,16,Power,-0.0
2026,16,Heat,-0.0
2026,16,Mobility,-0.0
2026,16,Cooking,-0.0
2026,16,Diesel,-0.0
2026,16,FireWood,-0.0
2026,17,Power,-0.0
2026,17,Heat,-0.0
2026,17,Mobility,-0.0
2026,17,Cooking,-0.0
2026,17,Diesel,-0.0
2026,17,FireWood,-0.0
2026,18,Power,-0.0
2026,18,Heat,-0.0
2026,18,Mobility,-0.0
2026,18,Cooking,-0.0
2026,18,Diesel,-0.0
2026,18,FireWood,-0.0
2026,19,Power,-0.0
2026,19,Heat,-0.0
2026,19,Mobility,-0.0
2026,19,Cooking,-0.0
2026,19,Diesel,-0.0
2026,19,FireWood,-0.0
2026,20,Power,-0.0
2026,20,Heat,-0.0
2026,20,Mobility,-0.0
2026,20,Cooking,-0.0
2026,20,Diesel,-0.0
2026,20,FireWood,-0.0
2026,21,Power,-0.0
2026,21,Heat,-0.0
2026,21,Mobility,-0.0
2026,21,Cooking,-0.0
2026,21,Diesel,-0.0
2026,21,FireWood,-0.0
2026,22,Power,-0.0
2026,22,Heat,-0.0
2026,22,Mobility,-0.0
2026,22,Cooking,-0.0
2026,22,Diesel,-0.0
2026,22,FireWood,-0.0
2026,23,Power,-0.0
2026,23,Heat,-0.0
2026,23,Mobility,-0.0
2026,23,Cooking,-0.0
2026,23,Diesel,-0.0
2026,23,FireWood,-0.0
2026,24,Power,-0.0
2026,24,Heat,-0.0
2026,24,Mobility,-0.0
2026,24,Cooking,-0.0
2026,24,Diesel,-0.0
2026,24,FireWood,-0.0
2026,25,Power,-0.0
2026,25,Heat,-0.0
2026,25,Mobility,-0.0
2026,25,Cooking,-0.0
2026,25,Diesel,-0.0
2026,25,FireWood,-0.0
2026,26,Power,-0.0
2026,26,Heat,-0.0
2026,26,Mobility,-0.0
2026,26,Cooking,-0.0
2026,26,Diesel,-0.0
2026,26,FireWood,-0.0
2026,27,Power,-0.0
2026,27,Heat,-0.0
2026,27,Mobility,-0.0
2026,27,Cooking,-0.0
2026,27,Diesel,-0.0
2026,27,FireWood,-0.0
2026,28,Power,-0.0
2026,28,Heat,-0.0
2026,28,Mobility,-0.0
2026,28,Cooking,-0.0
2026,28,Diesel,-0.0
2026,28,FireWood,-0.0
2026,29,Power,-0.0
2026,29,Heat,-1.4210854715202004e-14
2026,29,Mobility,-0.0
2026,29,Cooking,-0.0
2026,29,Diesel,-0.0
2026,29,FireWood,-0.0
2026,30,Power,-0.0
2026,30,Heat,-2.1316282072803006e-14
2026,30,Mobility,-0.0
2026,30,Cooking,-0.0
2026,30,Diesel,-0.0
2026,30,FireWood,-0.0
2026,31,Power,-0.0
2026,31,Heat,-0.0
2026,31,Mobility,-0.0
2026,31,Cooking,-0.0
2026,31,Diesel,-0.0
2026,31,FireWood,-0.0
2026,32,Power,-0.0
