Year,Storage,Fuel,Type,Value
2030,LeadAcidBattery,Power,NewCapacity,-1.6447435924638734e-10
2030,LeadAcidBattery,Heat,NewCapacity,0.0
2030,LeadAcidBattery,Mobility,NewCapacity,0.0
2030,LeadAcidBattery,Cooking,NewCapacity,0.0
2030,LeadAcidBattery,Diesel,NewCapacity,0.0
2030,LeadAcidBattery,FireWood,NewCapacity,0.0
2030,LFPBattery,Power,NewCapacity,0.0
2030,LFPBattery,Heat,NewCapacity,0.0
2030,LFPBattery,Mobility,NewCapacity,0.0
2030,LFPBattery,Cooking,NewCapacity,0.0
2030,LFPBattery,Diesel,NewCapacity,0.0
2030,LFPBattery,FireWood,NewCapacity,0.0
2035,LeadAcidBattery,Power,NewCapacity,0.0
2035,LeadAcidBattery,Heat,NewCapacity,0.0
2035,LeadAcidBattery,Mobility,NewCapacity,0.0
2035,LeadAcidBattery,Cooking,NewCapacity,0.0
2035,LeadAcidBattery,Diesel,NewCapacity,0.0
2035,LeadAcidBattery,FireWood,NewCapacity,0.0
2035,LFPBattery,Power,NewCapacity,0.0
2035,LFPBattery,Heat,NewCapacity,0.0
2035,LFPBattery,Mobility,NewCapacity,1.996869598000003
2035,LFPBattery,Cooking,NewCapacity,2.8991803860353826
2035,LFPBattery,Diesel,NewCapacity,0.0
2035,LFPBattery,FireWood,NewCapacity,0.0
2040,LeadAcidBattery,Power,NewCapacity,1.7689671949483454e-10
2040,LeadAcidBattery,Heat,NewCapacity,0.0
2040,LeadAcidBattery,Mobility,NewCapacity,0.0
2040,LeadAcidBattery,Cooking,NewCapacity,0.0
2040,LeadAcidBattery,Diesel,NewCapacity,0.0
2040,LeadAcidBattery,FireWood,NewCapacity,0.0
2040,LFPBattery,Power,NewCapacity,58.81357238666668
2040,LFPBattery,Heat,NewCapacity,0.0
2040,LFPBattery,Mobility,NewCapacity,19.546255025999997
2040,LFPBattery,Cooking,NewCapacity,182.07318800396462
2040,LFPBattery,Diesel,NewCapacity,0.0
2040,LFPBattery,FireWood,NewCapacity,0.0
2030,LeadAcidBattery,Power,TotalCapacity,516.559999999823
2030,LeadAcidBattery,Heat,TotalCapacity,0.0
2030,LeadAcidBattery,Mobility,TotalCapacity,0.0
2030,LeadAcidBattery,Cooking,TotalCapacity,0.0
2030,LeadAcidBattery,Diesel,TotalCapacity,0.0
2030,LeadAcidBattery,FireWood,TotalCapacity,0.0
2030,LFPBattery,Power,TotalCapacity,0.0
2030,LFPBattery,Heat,TotalCapacity,0.0
2030,LFPBattery,Mobility,TotalCapacity,0.0
2030,LFPBattery,Cooking,TotalCapacity,0.0
2030,LFPBattery,Diesel,TotalCapacity,0.0
2030,LFPBattery,FireWood,TotalCapacity,0.0
2035,LeadAcidBattery,Power,TotalCapacity,516.559999999823
2035,LeadAcidBattery,Heat,TotalCapacity,0.0
2035,LeadAcidBattery,Mobility,TotalCapacity,0.0
2035,LeadAcidBattery,Cooking,TotalCapacity,0.0
2035,LeadAcidBattery,Diesel,TotalCapacity,0.0
2035,LeadAcidBattery,FireWood,TotalCapacity,0.0
2035,LFPBattery,Power,TotalCapacity,0.0
2035,LFPBattery,Heat,TotalCapacity,0.0
2035,LFPBattery,Mobility,TotalCapacity,1.996869598000003
2035,LFPBattery,Cooking,TotalCapacity,2.8991803860353826
2035,LFPBattery,Diesel,TotalCapacity,0.0
2035,LFPBattery,FireWood,TotalCapacity,0.0
2040,LeadAcidBattery,Power,TotalCapacity,0.0
2040,LeadAcidBattery,Heat,TotalCapacity,0.0
2040,LeadAcidBattery,Mobility,TotalCapacity,0.0
2040,LeadAcidBattery,Cooking,TotalCapacity,0.0
2040,LeadAcidBattery,Diesel,TotalCapacity,0.0
2040,LeadAcidBattery,FireWood,TotalCapacity,0.0
2040,LFPBattery,Power,TotalCapacity,58.81357238666668
2040,LFPBattery,Heat,TotalCapacity,0.0
2040,LFPBattery,Mobility,TotalCapacity,21.543124624
2040,LFPBattery,Cooking,TotalCapacity,184.97236838999999
2040,LFPBattery,Diesel,TotalCapacity,0.0
2040,LFPBattery,FireWood,TotalCapacity,0.0
