Year,Technology,Value
2026,DieselGenerator,0.0
2026,HydroPower,0.0
2026,LFPBattery,0.0
2026,LeadAcidBattery,0.0
2026,SolarPV,132600.0
2026,Tidal,0.0
2026,WindOnshore,0.0
2028,DieselGenerator,0.0
2028,HydroPower,0.0
2028,LFPBattery,0.0
2028,LeadAcidBattery,0.0
2028,SolarPV,24036.195682910737
2028,Tidal,0.0
2028,WindOnshore,0.0
2030,DieselGenerator,0.0
2030,HydroPower,0.0
2030,LFPBattery,0.0
2030,LeadAcidBattery,0.0
2030,SolarPV,86094.39494303025
2030,Tidal,0.0
2030,WindOnshore,239891.50293723596
