Year,Hour,Fuel,Value
2030,1,Power,-0.0
2030,1,Heat,-0.0
2030,1,Mobility,-0.0
2030,1,Cooking,-0.0
2030,1,Diesel,-0.0
2030,1,FireWood,-0.0
2030,2,Power,-0.0
2030,2,Heat,-0.0
2030,2,Mobility,-0.0
2030,2,Cooking,-0.0
2030,2,Diesel,-0.0
2030,2,FireWood,-0.0
2030,3,Power,-0.0
2030,3,Heat,-0.0
2030,3,Mobility,-0.0
2030,3,Cooking,-0.0
2030,3,Diesel,-0.0
2030,3,FireWood,-0.0
2030,4,Power,-0.0
2030,4,Heat,-0.0
2030,4,Mobility,-0.0
2030,4,Cooking,-0.0
2030,4,Diesel,-0.0
2030,4,FireWood,-0.0
2030,5,Power,-0.0
2030,5,Heat,-0.0
2030,5,Mobility,-0.0
2030,5,Cooking,-0.0
2030,5,Diesel,-0.0
2030,5,FireWood,-0.0
2030,6,Power,-0.0
2030,6,Heat,-0.0
2030,6,Mobility,-0.0
2030,6,Cooking,-0.0
2030,6,Diesel,-0.0
2030,6,FireWood,-0.0
2030,7,Power,-1.4210854715202004e-14
2030,7,Heat,-0.0
2030,7,Mobility,-0.0
2030,7,Cooking,-0.0
2030,7,Diesel,-0.0
2030,7,FireWood,-0.0
2030,8,Power,-0.0
2030,8,Heat,-0.0
2030,8,Mobility,-0.0
2030,8,Cooking,-4.440892098500626e-16
2030,8,Diesel,-0.0
2030,8,FireWood,-0.0
2030,9,Power,-0.0
2030,9,Heat,-0.0
2030,9,Mobility,-0.0
2030,9,Cooking,-0.0
2030,9,Diesel,-0.0
2030,9,FireWood,-0.0
2030,10,Power,-0.0
2030,10,Heat,-0.0
2030,10,Mobility,-0.0
2030,10,Cooking,-0.0
2030,10,Diesel,-0.0
2030,10,FireWood,-0.0
2030,11,Power,-0.0
2030,11,Heat,-0.0
2030,11,Mobility,-0.0
2030,11,Cooking,-4.440892098500626e-16
2030,11,Diesel,-0.0
2030,11,FireWood,-0.0
2030,12,Power,-0.0
2030,12,Heat,-0.0
2030,12,Mobility,-0.0
2030,12,Cooking,-0.0
2030,12,Diesel,-0.0
2030,12,FireWood,-0.0
2030,13,Power,-1.4210854715202004e-14
2030,13,Heat,-0.0
2030,13,Mobility,-0.0
2030,13,Cooking,-4.440892098500626e-16
2030,13,Diesel,-0.0
2030,13,FireWood,-0.0
2030,14,Power,-0.0
2030,14,Heat,-0.0
2030,14,Mobility,-0.0
2030,14,Cooking,-0.0
2030,14,Diesel,-0.0
2030,14,FireWood,-0.0
2030,15,Power,-1.4210854715202004e-14
2030,15,Heat,-0.0
2030,15,Mobility,-0.0
2030,15,Cooking,-4.440892098500626e-16
2030,15,Diesel,-0.0
2030,15,FireWood,-0.0
2030,16,Power,-1.4210854715202004e-14
2030,16,Heat,-0.0
2030,16,Mobility,-0.0
2030,16,Cooking,-4.440892098500626e-16
2030,16,Diesel,-0.0
2030,16,FireWood,-0.0
2030,17,Power,-0.0
2030,17,Heat,-0.0
2030,17,Mobility,-0.0
2030,17,Cooking,-0.0
2030,17,Diesel,-0.0
2030,17,FireWood,-0.0
2030,18,Power,-0.0
2030,18,Heat,-0.0
2030,18,Mobility,-0.0
2030,18,Cooking,-0.0
2030,18,Diesel,-0.0
2030,18,FireWood,-0.0
2030,19,Power,-0.0
2030,19,Heat,-0.0
2030,19,Mobility,-0.0
2030,19,Cooking,-0.0
2030,19,Diesel,-0.0
2030,19,FireWood,-0.0
2030,20,Power,-0.0
2030,20,Heat,-0.0
2030,20,Mobility,-0.0
2030,20,Cooking,-4.440892098500626e-16
2030,20,Diesel,-0.0
2030,20,FireWood,-0.0
2030,21,Power,-0.0
