Year,Storage,Fuel,Type,Value
2030,LeadAcidBattery,Power,NewCapacity,-1.6980843203408378e-10
2030,LeadAcidBattery,Heat,NewCapacity,0.0
2030,LeadAcidBattery,Mobility,NewCapacity,592.799747780177
2030,LeadAcidBattery,Cooking,NewCapacity,230.49059071399998
2030,LeadAcidBattery,Diesel,NewCapacity,0.0
2030,LeadAcidBattery,FireWood,NewCapacity,0.0
2030,LFPBattery,Power,NewCapacity,0.0
2030,LFPBattery,Heat,NewCapacity,0.0
2030,LFPBattery,Mobility,NewCapacity,0.0
2030,LFPBattery,Cooking,NewCapacity,0.0
2030,LFPBattery,Diesel,NewCapacity,0.0
2030,LFPBattery,FireWood,NewCapacity,0.0
2035,LeadAcidBattery,Power,NewCapacity,0.0
2035,LeadAcidBattery,Heat,NewCapacity,0.0
2035,LeadAcidBattery,Mobility,NewCapacity,59.70361525299984
2035,LeadAcidBattery,Cooking,NewCapacity,7.848238207000037
2035,LeadAcidBattery,Diesel,NewCapacity,0.0
2035,LeadAcidBattery,FireWood,NewCapacity,0.0
2035,LFPBattery,Power,NewCapacity,0.0
2035,LFPBattery,Heat,NewCapacity,0.0
2035,LFPBattery,Mobility,NewCapacity,0.0
2035,LFPBattery,Cooking,NewCapacity,0.0
2035,LFPBattery,Diesel,NewCapacity,0.0
2035,LFPBattery,FireWood,NewCapacity,0.0
2040,LeadAcidBattery,Power,NewCapacity,383.5012699062545
2040,LeadAcidBattery,Heat,NewCapacity,0.0
2040,LeadAcidBattery,Mobility,NewCapacity,373.57967645874555
2040,LeadAcidBattery,Cooking,NewCapacity,201.055701639
2040,LeadAcidBattery,Diesel,NewCapacity,0.0
2040,LeadAcidBattery,FireWood,NewCapacity,0.0
2040,LFPBattery,Power,NewCapacity,0.0
2040,LFPBattery,Heat,NewCapacity,0.0
2040,LFPBattery,Mobility,NewCapacity,0.0
2040,LFPBattery,Cooking,NewCapacity,0.0
2040,LFPBattery,Diesel,NewCapacity,0.0
2040,LFPBattery,FireWood,NewCapacity,0.0
2030,LeadAcidBattery,Power,TotalCapacity,516.559999999823
2030,LeadAcidBattery,Heat,TotalCapacity,0.0
2030,LeadAcidBattery,Mobility,TotalCapacity,592.799747780177
2030,LeadAcidBattery,Cooking,TotalCapacity,230.49059071399998
2030,LeadAcidBattery,Diesel,TotalCapacity,0.0
2030,LeadAcidBattery,FireWood,TotalCapacity,0.0
2030,LFPBattery,Power,TotalCapacity,0.0
2030,LFPBattery,Heat,TotalCapacity,0.0
2030,LFPBattery,Mobility,TotalCapacity,0.0
2030,LFPBattery,Cooking,TotalCapacity,0.0
2030,LFPBattery,Diesel,TotalCapacity,0.0
2030,LFPBattery,FireWood,TotalCapacity,0.0
2035,LeadAcidBattery,Power,TotalCapacity,516.559999999823
2035,LeadAcidBattery,Heat,TotalCapacity,0.0
2035,LeadAcidBattery,Mobility,TotalCapacity,652.5033630331769
2035,LeadAcidBattery,Cooking,TotalCapacity,238.338828921
2035,LeadAcidBattery,Diesel,TotalCapacity,0.0
2035,LeadAcidBattery,FireWood,TotalCapacity,0.0
2035,LFPBattery,Power,TotalCapacity,0.0
2035,LFPBattery,Heat,TotalCapacity,0.0
2035,LFPBattery,Mobility,TotalCapacity,0.0
2035,LFPBattery,Cooking,TotalCapacity,0.0
2035,LFPBattery,Diesel,TotalCapacity,0.0
2035,LFPBattery,FireWood,TotalCapacity,0.0
2040,LeadAcidBattery,Power,TotalCapacity,383.5012699060776
2040,LeadAcidBattery,Heat,TotalCapacity,0.0
2040,LeadAcidBattery,Mobility,TotalCapacity,1026.0830394919224
2040,LeadAcidBattery,Cooking,TotalCapacity,439.39453056
2040,LeadAcidBattery,Diesel,TotalCapacity,0.0
2040,LeadAcidBattery,FireWood,TotalCapacity,0.0
2040,LFPBattery,Power,TotalCapacity,0.0
2040,LFPBattery,Heat,TotalCapacity,0.0
2040,LFPBattery,Mobility,TotalCapacity,0.0
2040,LFPBattery,Cooking,TotalCapacity,0.0
2040,LFPBattery,Diesel,TotalCapacity,0.0
2040,LFPBattery,FireWood,TotalCapacity,0.0
