Hour,Storage,Fuel,Value
1,Battery,Power,1.3306629
1,Battery,Heat,0.0
1,Battery,Diesel,0.0
2,Battery,Power,1.4695546
2,Battery,Heat,0.0
2,Battery,Diesel,0.0
3,Battery,Power,1.4018489
3,Battery,Heat,0.0
3,Battery,Diesel,0.0
4,Battery,Power,1.3824048
4,Battery,Heat,0.0
4,Battery,Diesel,0.0
5,Battery,Power,1.400712
5,Battery,Heat,0.0
5,Battery,Diesel,0.0
6,Battery,Power,1.4377809
6,Battery,Heat,0.0
6,Battery,Diesel,0.0
7,Battery,Power,1.413625
7,Battery,Heat,0.0
7,Battery,Diesel,0.0
8,Battery,Power,1.3106746
8,Battery,Heat,0.0
8,Battery,Diesel,0.0
9,Battery,Power,1.3097135
9,Battery,Heat,0.0
9,Battery,Diesel,0.0
10,Battery,Power,1.4178679
10,Battery,Heat,0.0
10,Battery,Diesel,0.0
11,Battery,Power,1.4459907
11,Battery,Heat,0.0
11,Battery,Diesel,0.0
12,Battery,Power,1.3609484
12,Battery,Heat,0.0
12,Battery,Diesel,0.0
13,Battery,Power,1.1978973
13,Battery,Heat,0.0
13,Battery,Diesel,0.0
14,Battery,Power,1.0838596
14,Battery,Heat,0.0
14,Battery,Diesel,0.0
15,Battery,Power,0.93829682
15,Battery,Heat,0.0
15,Battery,Diesel,0.0
16,Battery,Power,0.80780543
16,Battery,Heat,0.0
16,Battery,Diesel,0.0
17,Battery,Power,0.67198756
17,Battery,Heat,0.0
17,Battery,Diesel,0.0
18,Battery,Power,0.54230875
18,Battery,Heat,0.0
18,Battery,Diesel,0.0
19,Battery,Power,0.39653419
19,Battery,Heat,0.0
19,Battery,Diesel,0.0
20,Battery,Power,0.30247499
20,Battery,Heat,0.0
20,Battery,Diesel,0.0
21,Battery,Power,0.1249968
21,Battery,Heat,0.0
21,Battery,Diesel,0.0
22,Battery,Power,0.056781873
22,Battery,Heat,0.0
22,Battery,Diesel,0.0
23,Battery,Power,0.0
23,Battery,Heat,0.0
23,Battery,Diesel,0.0
24,Battery,Power,0.014511712
24,Battery,Heat,0.0
24,Battery,Diesel,0.0
25,Battery,Power,0.084951309
25,Battery,Heat,0.0
25,Battery,Diesel,0.0
26,Battery,Power,0.18856371
26,Battery,Heat,0.0
26,Battery,Diesel,0.0
27,Battery,Power,0.20055895
27,Battery,Heat,0.0
27,Battery,Diesel,0.0
28,Battery,Power,0.12885483
28,Battery,Heat,0.0
28,Battery,Diesel,0.0
29,Battery,Power,0.092404234
29,Battery,Heat,0.0
29,Battery,Diesel,0.0
30,Battery,Power,0.054266764
30,Battery,Heat,0.0
30,Battery,Diesel,0.0
31,Battery,Power,0.12797418
31,Battery,Heat,0.0
31,Battery,Diesel,0.0
32,Battery,Power,0.16704737
32,Battery,Heat,0.0
32,Battery,Diesel,0.0
33,Battery,Power,0.2393104
33,Battery,Heat,0.0
33,Battery,Diesel,0.0
34,Battery,Power,0.21434508
34,Battery,Heat,0.0
34,Battery,Diesel,0.0
35,Battery,Power,0.1532449
35,Battery,Heat,0.0
35,Battery,Diesel,0.0
36,Battery,Power,0.13046339
36,Battery,Heat,0.0
36,Battery,Diesel,0.0
37,Battery,Power,0.066939405
37,Battery,Heat,0.0
37,Battery,Diesel,0.0
38,Battery,Power,0.065512816
38,Battery,Heat,0.0
38,Battery,Diesel,0.0
39,Battery,Power,0.065895743
39,Battery,Heat,0.0
39,Battery,Diesel,0.0
40,Battery,Power,0.087922457
40,Battery,Heat,0.0
40,Battery,Diesel,0.0
41,Battery,Power,0.11275165
41,Battery,Heat,0.0
41,Battery,Diesel,0.0
42,Battery,Power,0.1567362
42,Battery,Heat,0.0
42,Battery,Diesel,0.0
43,Battery,Power,0.16274539
43,Battery,Heat,0.0
43,Battery,Diesel,0.0
44,Battery,Power,0.19575589
44,Battery,Heat,0.0
44,Battery,Diesel,0.0
45,Battery,Power,0.18287051
45,Battery,Heat,0.0
45,Battery,Diesel,0.0
