Hour,Technology,Value
1,SolarPV,0.0
1,WindOnshore,0.0
1,HydroPower,1.1939199999999999
1,DieselGenerator,0.0
1,Tidal,0.0
1,DieselImport,0.0
1,Forest,0.23660845071999997
1,ElectricStove,0.0
1,ElectricVehicle,0.0
1,WoodBurner,0.23660845071999997
2,SolarPV,0.0
2,WindOnshore,0.0
2,HydroPower,1.17936
2,DieselGenerator,0.0
2,Tidal,0.0
2,DieselImport,0.0
2,Forest,0.25439130174
2,ElectricStove,0.0
2,ElectricVehicle,0.0
2,WoodBurner,0.25439130174
3,SolarPV,0.0
3,WindOnshore,0.0
3,HydroPower,1.17936
3,DieselGenerator,0.0
3,Tidal,0.0
3,DieselImport,0.0
3,Forest,0.24537775724
3,ElectricStove,0.0
3,ElectricVehicle,0.0
3,WoodBurner,0.24537775724
4,SolarPV,0.0
4,WindOnshore,0.0
4,HydroPower,1.1648
4,DieselGenerator,0.0
4,Tidal,0.0
4,DieselImport,0.0
4,Forest,0.25025088646
4,ElectricStove,0.0
4,ElectricVehicle,0.0
4,WoodBurner,0.25025088646
5,SolarPV,0.0
5,WindOnshore,0.0
5,HydroPower,1.15024
5,DieselGenerator,0.0
5,Tidal,0.0
5,DieselImport,0.0
5,Forest,0.29028265442
5,ElectricStove,0.0
5,ElectricVehicle,0.0
5,WoodBurner,0.29028265442
6,SolarPV,0.0
6,WindOnshore,0.0
6,HydroPower,1.1648
6,DieselGenerator,0.0
6,Tidal,0.0
6,DieselImport,0.0
6,Forest,0.28736342903999995
6,ElectricStove,0.00283537851
6,ElectricVehicle,0.0
6,WoodBurner,0.28736342903999995
7,SolarPV,0.0
7,WindOnshore,0.0
7,HydroPower,1.2084799999999998
7,DieselGenerator,0.0
7,Tidal,0.0
7,DieselImport,0.0
7,Forest,0.2995404369
7,ElectricStove,0.0052812964559999995
7,ElectricVehicle,0.0
7,WoodBurner,0.2995404369
8,SolarPV,0.0
8,WindOnshore,0.0
8,HydroPower,1.22304
8,DieselGenerator,0.0
8,Tidal,0.0
8,DieselImport,0.0
8,Forest,0.37490529930000005
8,ElectricStove,0.011731247718
8,ElectricVehicle,0.0
8,WoodBurner,0.37490529930000005
9,SolarPV,0.0
9,WindOnshore,0.0
9,HydroPower,1.22304
9,DieselGenerator,0.0
9,Tidal,0.0
9,DieselImport,0.0
9,Forest,0.3857215527
9,ElectricStove,0.014566626228
9,ElectricVehicle,10.7131505778
9,WoodBurner,0.3857215527
10,SolarPV,0.0
10,WindOnshore,0.0
10,HydroPower,1.2376
10,DieselGenerator,0.0
10,Tidal,0.0
10,DieselImport,0.0
10,Forest,0.38609372486000004
10,ElectricStove,0.014177074626000001
10,ElectricVehicle,0.0
10,WoodBurner,0.38609372486000004
11,SolarPV,0.0
11,WindOnshore,0.0
11,HydroPower,1.2376
11,DieselGenerator,0.0
11,Tidal,0.0
11,DieselImport,0.0
11,Forest,0.23660845071999997
11,ElectricStove,0.0052812964559999995
11,ElectricVehicle,0.0
11,WoodBurner,0.23660845071999997
12,SolarPV,0.0
12,WindOnshore,0.0
12,HydroPower,1.2376
12,DieselGenerator,0.0
12,Tidal,0.0
12,DieselImport,0.0
12,Forest,0.23587573677999998
12,ElectricStove,0.014177074626000001
12,ElectricVehicle,0.0
12,WoodBurner,0.23587573677999998
13,SolarPV,0.0
13,WindOnshore,0.0
13,HydroPower,1.22304
13,DieselGenerator,0.0
13,Tidal,0.0
13,DieselImport,0.0
13,Forest,0.23465454688
13,ElectricStove,0.013787614062
13,ElectricVehicle,0.0
13,WoodBurner,0.23465454688
14,SolarPV,0.0
14,WindOnshore,0.0
14,HydroPower,1.22304
14,DieselGenerator,0.0
14,Tidal,0.0
14,DieselImport,0.0
14,Forest,0.24513351926
14,ElectricStove,0.013787614062
14,ElectricVehicle,0.0
14,WoodBurner,0.24513351926
15,SolarPV,0.0
15,WindOnshore,0.0
15,HydroPower,1.22304
15,DieselGenerator,0.0
15,Tidal,0.0
15,DieselImport,0.0
15,Forest,0.24197005589999998
15,ElectricStove,0.008506226568000002
15,ElectricVehicle,0.0
15,WoodBurner,0.24197005589999998
16,SolarPV,0.0
16,WindOnshore,0.0
16,HydroPower,1.22304
16,DieselGenerator,0.0
16,Tidal,0.0
16,DieselImport,0.0
16,Forest,0.29784240142
16,ElectricStove,0.0036144817140000003
16,ElectricVehicle,0.0
16,WoodBurner,0.29784240142
17,SolarPV,0.0
17,WindOnshore,0.0
17,HydroPower,1.2084799999999998
17,DieselGenerator,0.0
17,Tidal,0.0
17,DieselImport,0.0
17,Forest,0.30002891286
17,ElectricStove,0.00283537851
17,ElectricVehicle,10.7131505778
17,WoodBurner,0.30002891286
18,SolarPV,0.0
18,WindOnshore,0.0
18,HydroPower,1.2084799999999998
18,DieselGenerator,0.0
18,Tidal,0.0
18,DieselImport,0.0
18,Forest,0.30051738882
18,ElectricStove,0.012496877298000001
18,ElectricVehicle,0.0
18,WoodBurner,0.30051738882
19,SolarPV,0.0
19,WindOnshore,0.0
19,HydroPower,1.2084799999999998
19,DieselGenerator,0.0
19,Tidal,0.0
19,DieselImport,0.0
19,Forest,0.37490529930000005
19,ElectricStove,0.024153564893999998
19,ElectricVehicle,0.0
19,WoodBurner,0.37490529930000005
20,SolarPV,0.0
20,WindOnshore,0.0
20,HydroPower,1.1939199999999999
20,DieselGenerator,0.0
20,Tidal,0.0
20,DieselImport,0.0
20,Forest,0.38125548678000004
20,ElectricStove,0.024153564893999998
20,ElectricVehicle,0.0
20,WoodBurner,0.38125548678000004
21,SolarPV,0.0
21,WindOnshore,0.0
21,HydroPower,1.1939199999999999
21,DieselGenerator,0.0
21,Tidal,0.0
21,DieselImport,0.0
21,Forest,0.35590125838000003
21,ElectricStove,0.023489988912
21,ElectricVehicle,10.7131505778
21,WoodBurner,0.35590125838000003
22,SolarPV,0.0
22,WindOnshore,0.0
22,HydroPower,1.1939199999999999
22,DieselGenerator,0.0
22,Tidal,0.0
22,DieselImport,0.0
22,Forest,0.38609372486000004
22,ElectricStove,0.010325074770000001
22,ElectricVehicle,0.0
22,WoodBurner,0.38609372486000004
23,SolarPV,0.0
23,WindOnshore,0.0
23,HydroPower,1.17936
23,DieselGenerator,0.0
23,Tidal,0.0
23,DieselImport,0.0
23,Forest,0.24586623319999998
23,ElectricStove,0.004830749394
23,ElectricVehicle,0.0
23,WoodBurner,0.24586623319999998
24,SolarPV,0.0
24,WindOnshore,0.0
24,HydroPower,1.17936
24,DieselGenerator,0.0
24,Tidal,0.0
24,DieselImport,0.0
24,Forest,0.23734116466
24,ElectricStove,0.0
24,ElectricVehicle,0.0
24,WoodBurner,0.23734116466
25,SolarPV,0.0
25,WindOnshore,0.0
25,HydroPower,1.17936
25,DieselGenerator,0.0
25,Tidal,0.0
25,DieselImport,0.0
25,Forest,0.25514727644
25,ElectricStove,0.0
25,ElectricVehicle,0.0
25,WoodBurner,0.25514727644
26,SolarPV,0.0
26,WindOnshore,0.0
26,HydroPower,1.1648
26,DieselGenerator,0.0
26,Tidal,0.0
26,DieselImport,0.0
26,Forest,0.24754100792
26,ElectricStove,0.0
26,ElectricVehicle,0.0
26,WoodBurner,0.24754100792
27,SolarPV,0.0
27,WindOnshore,0.0
27,HydroPower,1.1648
27,DieselGenerator,0.0
27,Tidal,0.0
27,DieselImport,0.0
27,Forest,0.2487738282
27,ElectricStove,0.0
27,ElectricVehicle,0.0
27,WoodBurner,0.2487738282
28,SolarPV,0.0
28,WindOnshore,0.0
28,HydroPower,1.1648
28,DieselGenerator,0.0
28,Tidal,0.0
28,DieselImport,0.0
