Year,Technology,Type,Value
2026,SolarPV,NewCapacity,0.0
2026,WindOnshore,NewCapacity,0.0
2026,HydroPower,NewCapacity,0.0
2026,DieselGenerator,NewCapacity,0.0
2026,Tidal,NewCapacity,50.0
2026,DieselImport,NewCapacity,20.0
2026,Forest,NewCapacity,389.00000000000006
2026,ElectricStove,NewCapacity,3.0
2026,ElectricVehicle,NewCapacity,3.0
2026,WoodBurner,NewCapacity,195.0
2026,ElectricHeatPump,NewCapacity,148.0
2028,SolarPV,NewCapacity,0.0
2028,WindOnshore,NewCapacity,0.0
2028,HydroPower,NewCapacity,0.0
2028,DieselGenerator,NewCapacity,0.0
2028,Tidal,NewCapacity,0.0
2028,DieselImport,NewCapacity,2.0
2028,Forest,NewCapacity,15.0
2028,ElectricStove,NewCapacity,4.0000000000000036
2028,ElectricVehicle,NewCapacity,2.0
2028,WoodBurner,NewCapacity,6.999999999999972
2028,ElectricHeatPump,NewCapacity,6.0
2030,SolarPV,NewCapacity,0.0
2030,WindOnshore,NewCapacity,0.0
2030,HydroPower,NewCapacity,0.0
2030,DieselGenerator,NewCapacity,0.0
2030,Tidal,NewCapacity,250.0
2030,DieselImport,NewCapacity,0.0
2030,Forest,NewCapacity,14.000000000000057
2030,ElectricStove,NewCapacity,2.9999999999999982
2030,ElectricVehicle,NewCapacity,5.0
2030,WoodBurner,NewCapacity,7.000000000000028
2030,ElectricHeatPump,NewCapacity,188.0
2026,SolarPV,TotalCapacity,182.0
2026,WindOnshore,TotalCapacity,24.0
2026,HydroPower,TotalCapacity,112.0
2026,DieselGenerator,TotalCapacity,76.0
2026,Tidal,TotalCapacity,50.0
2026,DieselImport,TotalCapacity,20.0
2026,Forest,TotalCapacity,389.00000000000006
2026,ElectricStove,TotalCapacity,3.0
2026,ElectricVehicle,TotalCapacity,3.0
2026,WoodBurner,TotalCapacity,195.0
2026,ElectricHeatPump,TotalCapacity,148.0
2028,SolarPV,TotalCapacity,182.0
2028,WindOnshore,TotalCapacity,24.0
2028,HydroPower,TotalCapacity,112.0
2028,DieselGenerator,TotalCapacity,76.0
2028,Tidal,TotalCapacity,50.0
2028,DieselImport,TotalCapacity,22.0
2028,Forest,TotalCapacity,404.0
2028,ElectricStove,TotalCapacity,7.0000000000000036
2028,ElectricVehicle,TotalCapacity,5.0
2028,WoodBurner,TotalCapacity,201.99999999999997
2028,ElectricHeatPump,TotalCapacity,154.0
2030,SolarPV,TotalCapacity,182.0
2030,WindOnshore,TotalCapacity,24.0
2030,HydroPower,TotalCapacity,112.0
2030,DieselGenerator,TotalCapacity,76.0
2030,Tidal,TotalCapacity,300.0
2030,DieselImport,TotalCapacity,22.0
2030,Forest,TotalCapacity,418.0
2030,ElectricStove,TotalCapacity,10.000000000000002
2030,ElectricVehicle,TotalCapacity,10.0
2030,WoodBurner,TotalCapacity,209.0
2030,ElectricHeatPump,TotalCapacity,342.00000000000006
