Year,Storage,Fuel,Type,Value
2026,LeadAcidBattery,Power,NewCapacity,2210.1769000000004
2026,LeadAcidBattery,Heat,NewCapacity,0.0
2026,LeadAcidBattery,Mobility,NewCapacity,0.0
2026,LeadAcidBattery,Cooking,NewCapacity,10.20835
2026,LeadAcidBattery,Diesel,NewCapacity,0.0
2026,LeadAcidBattery,FireWood,NewCapacity,0.0
2026,LFPBattery,Power,NewCapacity,0.0
2026,LFPBattery,Heat,NewCapacity,0.0
2026,LFPBattery,Mobility,NewCapacity,0.0
2026,LFPBattery,Cooking,NewCapacity,0.0
2026,LFPBattery,Diesel,NewCapacity,0.0
2026,LFPBattery,FireWood,NewCapacity,0.0
2028,LeadAcidBattery,Power,NewCapacity,251.93904999999916
2028,LeadAcidBattery,Heat,NewCapacity,0.0
2028,LeadAcidBattery,Mobility,NewCapacity,3.466124999999998
2028,LeadAcidBattery,Cooking,NewCapacity,15.027274999999873
2028,LeadAcidBattery,Diesel,NewCapacity,0.0
2028,LeadAcidBattery,FireWood,NewCapacity,0.0
2028,LFPBattery,Power,NewCapacity,0.0
2028,LFPBattery,Heat,NewCapacity,0.0
2028,LFPBattery,Mobility,NewCapacity,0.0
2028,LFPBattery,Cooking,NewCapacity,0.0
2028,LFPBattery,Diesel,NewCapacity,0.0
2028,LFPBattery,FireWood,NewCapacity,0.0
2030,LeadAcidBattery,Power,NewCapacity,1092.0133000000003
2030,LeadAcidBattery,Heat,NewCapacity,0.0
2030,LeadAcidBattery,Mobility,NewCapacity,229.38107500000004
2030,LeadAcidBattery,Cooking,NewCapacity,146.66437500000015
2030,LeadAcidBattery,Diesel,NewCapacity,0.0
2030,LeadAcidBattery,FireWood,NewCapacity,0.0
2030,LFPBattery,Power,NewCapacity,0.0
2030,LFPBattery,Heat,NewCapacity,0.0
2030,LFPBattery,Mobility,NewCapacity,0.0
2030,LFPBattery,Cooking,NewCapacity,0.0
2030,LFPBattery,Diesel,NewCapacity,0.0
2030,LFPBattery,FireWood,NewCapacity,0.0
2026,LeadAcidBattery,Power,TotalCapacity,3501.5769000000005
2026,LeadAcidBattery,Heat,TotalCapacity,0.0
2026,LeadAcidBattery,Mobility,TotalCapacity,0.0
2026,LeadAcidBattery,Cooking,TotalCapacity,10.20835
2026,LeadAcidBattery,Diesel,TotalCapacity,0.0
2026,LeadAcidBattery,FireWood,TotalCapacity,0.0
2026,LFPBattery,Power,TotalCapacity,0.0
2026,LFPBattery,Heat,TotalCapacity,0.0
2026,LFPBattery,Mobility,TotalCapacity,0.0
2026,LFPBattery,Cooking,TotalCapacity,0.0
2026,LFPBattery,Diesel,TotalCapacity,0.0
2026,LFPBattery,FireWood,TotalCapacity,0.0
2028,LeadAcidBattery,Power,TotalCapacity,3753.5159499999995
2028,LeadAcidBattery,Heat,TotalCapacity,0.0
2028,LeadAcidBattery,Mobility,TotalCapacity,3.466124999999998
2028,LeadAcidBattery,Cooking,TotalCapacity,25.23562499999987
2028,LeadAcidBattery,Diesel,TotalCapacity,0.0
2028,LeadAcidBattery,FireWood,TotalCapacity,0.0
2028,LFPBattery,Power,TotalCapacity,0.0
2028,LFPBattery,Heat,TotalCapacity,0.0
2028,LFPBattery,Mobility,TotalCapacity,0.0
2028,LFPBattery,Cooking,TotalCapacity,0.0
2028,LFPBattery,Diesel,TotalCapacity,0.0
2028,LFPBattery,FireWood,TotalCapacity,0.0
2030,LeadAcidBattery,Power,TotalCapacity,4845.52925
2030,LeadAcidBattery,Heat,TotalCapacity,0.0
2030,LeadAcidBattery,Mobility,TotalCapacity,232.84720000000002
2030,LeadAcidBattery,Cooking,TotalCapacity,171.9
2030,LeadAcidBattery,Diesel,TotalCapacity,0.0
2030,LeadAcidBattery,FireWood,TotalCapacity,0.0
2030,LFPBattery,Power,TotalCapacity,0.0
2030,LFPBattery,Heat,TotalCapacity,0.0
2030,LFPBattery,Mobility,TotalCapacity,0.0
2030,LFPBattery,Cooking,TotalCapacity,0.0
2030,LFPBattery,Diesel,TotalCapacity,0.0
2030,LFPBattery,FireWood,TotalCapacity,0.0
