Year,Technology,Type,Value
2026,SolarPV,NewCapacity,60.0
2026,WindOnshore,NewCapacity,0.0
2026,HydroPower,NewCapacity,0.0
2026,DieselGenerator,NewCapacity,0.0
2026,DieselImport,NewCapacity,19.0
2026,Forest,NewCapacity,389.0
2026,ElectricStove,NewCapacity,3.0
2026,ElectricVehicle,NewCapacity,3.0
2026,WoodBurner,NewCapacity,195.0
2026,ElectricHeatPump,NewCapacity,148.0
2028,SolarPV,NewCapacity,20.0
2028,WindOnshore,NewCapacity,0.0
2028,HydroPower,NewCapacity,0.0
2028,DieselGenerator,NewCapacity,0.0
2028,DieselImport,NewCapacity,1.0
2028,Forest,NewCapacity,15.0
2028,ElectricStove,NewCapacity,3.0
2028,ElectricVehicle,NewCapacity,2.0
2028,WoodBurner,NewCapacity,7.0
2028,ElectricHeatPump,NewCapacity,6.0
2030,SolarPV,NewCapacity,250.0
2030,WindOnshore,NewCapacity,100.0
2030,HydroPower,NewCapacity,0.0
2030,DieselGenerator,NewCapacity,0.0
2030,DieselImport,NewCapacity,0.0
2030,Forest,NewCapacity,14.0
2030,ElectricStove,NewCapacity,9.0
2030,ElectricVehicle,NewCapacity,16.0
2030,WoodBurner,NewCapacity,7.0
2030,ElectricHeatPump,NewCapacity,164.0
2026,SolarPV,TotalCapacity,242.0
2026,WindOnshore,TotalCapacity,24.0
2026,HydroPower,TotalCapacity,112.0
2026,DieselGenerator,TotalCapacity,76.0
2026,DieselImport,TotalCapacity,19.0
2026,Forest,TotalCapacity,389.0
2026,ElectricStove,TotalCapacity,3.0
2026,ElectricVehicle,TotalCapacity,3.0
2026,WoodBurner,TotalCapacity,195.0
2026,ElectricHeatPump,TotalCapacity,148.0
2028,SolarPV,TotalCapacity,262.0
2028,WindOnshore,TotalCapacity,24.0
2028,HydroPower,TotalCapacity,112.0
2028,DieselGenerator,TotalCapacity,76.0
2028,DieselImport,TotalCapacity,20.0
2028,Forest,TotalCapacity,404.0
2028,ElectricStove,TotalCapacity,6.0
2028,ElectricVehicle,TotalCapacity,5.0
2028,WoodBurner,TotalCapacity,202.0
2028,ElectricHeatPump,TotalCapacity,154.0
2030,SolarPV,TotalCapacity,512.0
2030,WindOnshore,TotalCapacity,124.0
2030,HydroPower,TotalCapacity,112.0
2030,DieselGenerator,TotalCapacity,76.0
2030,DieselImport,TotalCapacity,20.0
2030,Forest,TotalCapacity,418.0
2030,ElectricStove,TotalCapacity,15.0
2030,ElectricVehicle,TotalCapacity,21.0
2030,WoodBurner,TotalCapacity,209.0
2030,ElectricHeatPump,TotalCapacity,318.0
