Year,Technology,Value
2026,SolarPV,0.0
2026,WindOnshore,0.0
2026,HydroPower,0.0
2026,DieselGenerator,10.009858357800013
2026,DieselImport,0.0
2026,Forest,0.0
2026,ElectricStove,0.0
2026,ElectricVehicle,0.0
2026,WoodBurner,1657.4309425440642
2026,ElectricHeatPump,0.0
2028,SolarPV,0.0
2028,WindOnshore,0.0
2028,HydroPower,0.0
2028,DieselGenerator,11.157464133899975
2028,DieselImport,0.0
2028,Forest,0.0
2028,ElectricStove,0.0
2028,ElectricVehicle,0.0
2028,WoodBurner,1736.132340088818
2028,ElectricHeatPump,0.0
2030,SolarPV,0.0
2030,WindOnshore,0.0
2030,HydroPower,0.0
2030,DieselGenerator,0.0
2030,DieselImport,0.0
2030,Forest,0.0
2030,ElectricStove,0.0
2030,ElectricVehicle,0.0
2030,WoodBurner,1106.7583986791997
2030,ElectricHeatPump,0.0
