Hour,Technology,Value
1,SolarPV,0.0
1,WindOnshore,0.0
1,HydroPower,0.533
1,DieselGenerator,0.0
2,SolarPV,0.0
2,WindOnshore,0.0
2,HydroPower,0.5265
2,DieselGenerator,0.0
3,SolarPV,0.0
3,WindOnshore,0.0
3,HydroPower,0.5265
3,DieselGenerator,0.0
4,SolarPV,0.0
4,WindOnshore,0.0
4,HydroPower,0.52
4,DieselGenerator,0.0
5,SolarPV,0.0
5,WindOnshore,0.0
5,HydroPower,0.5135
5,DieselGenerator,0.0
6,SolarPV,0.0
6,WindOnshore,0.0
6,HydroPower,0.52
6,DieselGenerator,0.0
7,SolarPV,0.0
7,WindOnshore,0.0
7,HydroPower,0.5395
7,DieselGenerator,0.0
8,SolarPV,0.0
8,WindOnshore,0.0
8,HydroPower,0.5459999999999999
8,DieselGenerator,0.0
9,SolarPV,0.0
9,WindOnshore,0.0
9,HydroPower,0.5459999999999999
9,DieselGenerator,0.0
10,SolarPV,0.0
10,WindOnshore,0.0
10,HydroPower,0.5525
10,DieselGenerator,0.0
11,SolarPV,0.0
11,WindOnshore,0.0
11,HydroPower,0.5525
11,DieselGenerator,0.0
12,SolarPV,0.0
12,WindOnshore,0.0
12,HydroPower,0.5525
12,DieselGenerator,0.0
13,SolarPV,0.0
13,WindOnshore,0.0
13,HydroPower,0.5459999999999999
13,DieselGenerator,0.0
14,SolarPV,0.0
14,WindOnshore,0.0
14,HydroPower,0.5459999999999999
14,DieselGenerator,0.0
15,SolarPV,0.0
15,WindOnshore,0.0
15,HydroPower,0.5459999999999999
15,DieselGenerator,0.0
16,SolarPV,0.0
16,WindOnshore,0.0
16,HydroPower,0.5459999999999999
16,DieselGenerator,0.0
17,SolarPV,0.0
17,WindOnshore,0.0
17,HydroPower,0.5395
17,DieselGenerator,0.0
18,SolarPV,0.0
18,WindOnshore,0.0
18,HydroPower,0.5395
18,DieselGenerator,0.0
19,SolarPV,0.0
19,WindOnshore,0.0
19,HydroPower,0.5395
19,DieselGenerator,0.0
20,SolarPV,0.0
20,WindOnshore,0.0
20,HydroPower,0.533
20,DieselGenerator,0.0
21,SolarPV,0.0
21,WindOnshore,0.0
21,HydroPower,0.533
21,DieselGenerator,0.0
22,SolarPV,0.0
22,WindOnshore,0.0
22,HydroPower,0.533
22,DieselGenerator,0.0
23,SolarPV,0.0
23,WindOnshore,0.0
23,HydroPower,0.5265
23,DieselGenerator,0.0
24,SolarPV,0.0
24,WindOnshore,0.0
24,HydroPower,0.5265
24,DieselGenerator,0.0
25,SolarPV,0.0
25,WindOnshore,0.0
25,HydroPower,0.5265
25,DieselGenerator,0.0
26,SolarPV,0.0
26,WindOnshore,0.0
26,HydroPower,0.52
26,DieselGenerator,0.0
27,SolarPV,0.0
27,WindOnshore,0.0
27,HydroPower,0.52
27,DieselGenerator,0.0
28,SolarPV,0.0
28,WindOnshore,0.0
28,HydroPower,0.52
28,DieselGenerator,0.0
29,SolarPV,0.0
29,WindOnshore,0.0
29,HydroPower,0.5135
29,DieselGenerator,0.0
30,SolarPV,0.0
30,WindOnshore,0.0
30,HydroPower,0.5135
30,DieselGenerator,0.0
31,SolarPV,0.0
31,WindOnshore,0.0
31,HydroPower,0.5135
31,DieselGenerator,0.0
32,SolarPV,0.0
32,WindOnshore,0.0
32,HydroPower,0.5135
32,DieselGenerator,0.0
33,SolarPV,0.0
33,WindOnshore,0.0
33,HydroPower,0.507
33,DieselGenerator,0.0
34,SolarPV,0.0
34,WindOnshore,0.0
34,HydroPower,0.507
34,DieselGenerator,0.0
35,SolarPV,0.0
35,WindOnshore,0.0
35,HydroPower,0.507
35,DieselGenerator,0.0
36,SolarPV,0.0
36,WindOnshore,0.0
36,HydroPower,0.5005
36,DieselGenerator,0.0
37,SolarPV,0.0
37,WindOnshore,0.0
37,HydroPower,0.5005
37,DieselGenerator,0.0
38,SolarPV,0.0
38,WindOnshore,0.0
38,HydroPower,0.5005
38,DieselGenerator,0.0
39,SolarPV,0.0
39,WindOnshore,0.0
39,HydroPower,0.5005
39,DieselGenerator,0.0
40,SolarPV,0.0
40,WindOnshore,0.0
40,HydroPower,0.5005
40,DieselGenerator,0.0
41,SolarPV,0.0
41,WindOnshore,0.0
41,HydroPower,0.494
41,DieselGenerator,0.0
42,SolarPV,0.0
42,WindOnshore,0.0
42,HydroPower,0.494
42,DieselGenerator,0.0
43,SolarPV,0.0
43,WindOnshore,0.0
43,HydroPower,0.494
43,DieselGenerator,0.0
44,SolarPV,0.0
44,WindOnshore,0.0
44,HydroPower,0.494
44,DieselGenerator,0.0
45,SolarPV,0.0
45,WindOnshore,0.0
45,HydroPower,0.494
45,DieselGenerator,0.0
46,SolarPV,0.0
46,WindOnshore,0.0
46,HydroPower,0.4875
46,DieselGenerator,0.0
47,SolarPV,0.0
47,WindOnshore,0.0
47,HydroPower,0.4875
47,DieselGenerator,0.0
48,SolarPV,0.0
48,WindOnshore,0.0
48,HydroPower,0.4875
48,DieselGenerator,0.0
49,SolarPV,0.0
49,WindOnshore,0.0
49,HydroPower,0.4875
49,DieselGenerator,0.0
50,SolarPV,0.0
50,WindOnshore,0.0
50,HydroPower,0.481
50,DieselGenerator,0.0
51,SolarPV,0.0
51,WindOnshore,0.0
51,HydroPower,0.481
51,DieselGenerator,0.0
52,SolarPV,0.0
52,WindOnshore,0.0
52,HydroPower,0.481
52,DieselGenerator,0.0
53,SolarPV,0.0
53,WindOnshore,0.0
53,HydroPower,0.4745
53,DieselGenerator,0.0
54,SolarPV,0.0
54,WindOnshore,0.0
54,HydroPower,0.4745
54,DieselGenerator,0.0
55,SolarPV,0.0
55,WindOnshore,0.0
55,HydroPower,0.4745
55,DieselGenerator,0.0
56,SolarPV,0.0
56,WindOnshore,0.0
56,HydroPower,0.4745
56,DieselGenerator,0.0
57,SolarPV,0.0
57,WindOnshore,0.0
57,HydroPower,0.46799999999999997
57,DieselGenerator,0.0
58,SolarPV,0.0
58,WindOnshore,0.0
58,HydroPower,0.46799999999999997
58,DieselGenerator,0.0
59,SolarPV,0.0
59,WindOnshore,0.0
59,HydroPower,0.46799999999999997
59,DieselGenerator,0.0
60,SolarPV,0.0
60,WindOnshore,0.0
60,HydroPower,0.46799999999999997
60,DieselGenerator,0.0
61,SolarPV,0.0
61,WindOnshore,0.0
61,HydroPower,0.46799999999999997
61,DieselGenerator,0.0
62,SolarPV,0.0
62,WindOnshore,0.0
62,HydroPower,0.46799999999999997
62,DieselGenerator,0.0
63,SolarPV,0.0
63,WindOnshore,0.0
63,HydroPower,0.46799999999999997
63,DieselGenerator,0.0
64,SolarPV,0.0
64,WindOnshore,0.0
64,HydroPower,0.46799999999999997
64,DieselGenerator,0.0
65,SolarPV,0.0
65,WindOnshore,0.0
65,HydroPower,0.46799999999999997
65,DieselGenerator,0.0
66,SolarPV,0.0
66,WindOnshore,0.0
66,HydroPower,0.46149999999999997
66,DieselGenerator,0.0
67,SolarPV,0.0
67,WindOnshore,0.0
67,HydroPower,0.46149999999999997
67,DieselGenerator,0.0
68,SolarPV,0.0
68,WindOnshore,0.0
68,HydroPower,0.46149999999999997
68,DieselGenerator,0.0
69,SolarPV,0.0
69,WindOnshore,0.0
69,HydroPower,0.44849999999999995
69,DieselGenerator,0.0
70,SolarPV,0.0
70,WindOnshore,0.0
70,HydroPower,0.46149999999999997
70,DieselGenerator,0.0
71,SolarPV,0.0
71,WindOnshore,0.0
71,HydroPower,0.45499999999999996
71,DieselGenerator,0.0
72,SolarPV,0.0
72,WindOnshore,0.0
72,HydroPower,0.45499999999999996
72,DieselGenerator,0.0
