Hour,Fuel,Value
1,Diesel,30000253.0
1,FireWood,19999998.0
1,Gas,105499989.45
2,Diesel,30000253.0
2,FireWood,19999998.0
2,Gas,105499989.45
3,Diesel,30000253.0
3,FireWood,19999998.0
3,Gas,105499989.45
4,Diesel,30000253.0
4,FireWood,19999998.0
4,Gas,105499989.45
5,Diesel,30000253.0
5,FireWood,19999998.0
5,Gas,105499989.45
6,Diesel,30000253.0
6,FireWood,19999998.0
6,Gas,105499989.45
7,Diesel,30000253.0
7,FireWood,19999998.0
7,Gas,105499989.45
8,Diesel,30000253.0
8,FireWood,19999998.0
8,Gas,105499989.45
9,Diesel,30000253.0
9,FireWood,19999998.0
9,Gas,105499989.45
10,Diesel,30000253.0
10,FireWood,19999998.0
10,Gas,105499989.45
11,Diesel,30000253.0
11,FireWood,19999998.0
11,Gas,105499989.45
12,Diesel,30000253.0
12,FireWood,19999998.0
12,Gas,105499989.45
13,Diesel,30000253.0
13,FireWood,19999998.0
13,Gas,105499989.45
14,Diesel,30000253.0
14,FireWood,19999998.0
14,Gas,105499989.45
15,Diesel,30000253.0
15,FireWood,19999998.0
15,Gas,105499989.45
16,Diesel,30000253.0
16,FireWood,19999998.0
16,Gas,105499989.45
17,Diesel,30000253.0
17,FireWood,19999998.0
17,Gas,105499989.45
18,Diesel,30000253.0
18,FireWood,19999998.0
18,Gas,105499989.45
19,Diesel,30000253.0
19,FireWood,19999998.0
19,Gas,105499989.45
20,Diesel,30000253.0
20,FireWood,19999998.0
20,Gas,105499989.45
21,Diesel,30000253.0
21,FireWood,19999998.0
21,Gas,105499989.45
22,Diesel,30000253.0
22,FireWood,19999998.0
22,Gas,105499989.45
23,Diesel,30000253.0
23,FireWood,19999998.0
23,Gas,105499989.45
24,Diesel,30000253.0
24,FireWood,19999998.0
24,Gas,105499989.45
25,Diesel,30000253.0
25,FireWood,19999998.0
25,Gas,105499989.45
26,Diesel,30000253.0
26,FireWood,19999998.0
26,Gas,105499989.45
27,Diesel,30000253.0
27,FireWood,19999998.0
27,Gas,105499989.45
28,Diesel,30000253.0
28,FireWood,19999998.0
28,Gas,105499989.45
29,Diesel,30000253.0
29,FireWood,19999998.0
29,Gas,105499989.45
30,Diesel,30000253.0
30,FireWood,19999998.0
30,Gas,105499989.45
31,Diesel,30000253.0
31,FireWood,19999998.0
31,Gas,105499989.45
32,Diesel,30000253.0
32,FireWood,19999998.0
32,Gas,105499989.45
33,Diesel,30000253.0
33,FireWood,19999998.0
33,Gas,105499989.45
34,Diesel,30000253.0
34,FireWood,19999998.0
34,Gas,105499989.45
35,Diesel,30000253.0
35,FireWood,19999998.0
35,Gas,105499989.45
36,Diesel,30000253.0
36,FireWood,19999998.0
36,Gas,105499989.45
37,Diesel,30000253.0
37,FireWood,19999998.0
37,Gas,105499989.45
38,Diesel,30000253.0
38,FireWood,19999998.0
38,Gas,105499989.45
39,Diesel,30000253.0
39,FireWood,19999998.0
39,Gas,105499989.45
40,Diesel,30000253.0
40,FireWood,19999998.0
40,Gas,105499989.45
41,Diesel,30000253.0
41,FireWood,19999998.0
41,Gas,105499989.45
42,Diesel,30000253.0
42,FireWood,19999998.0
42,Gas,105499989.45
43,Diesel,30000253.0
43,FireWood,19999998.0
43,Gas,105499989.45
44,Diesel,30000253.0
44,FireWood,19999998.0
44,Gas,105499989.45
45,Diesel,30000253.0
45,FireWood,19999998.0
45,Gas,105499989.45
46,Diesel,30000253.0
46,FireWood,19999998.0
46,Gas,105499989.45
47,Diesel,30000253.0
47,FireWood,19999998.0
47,Gas,105499989.45
48,Diesel,30000253.0
48,FireWood,19999998.0
48,Gas,105499989.45
49,Diesel,30000253.0
49,FireWood,19999998.0
49,Gas,105499989.45
50,Diesel,30000253.0
50,FireWood,19999998.0
50,Gas,105499989.45
51,Diesel,30000253.0
51,FireWood,19999998.0
51,Gas,105499989.45
52,Diesel,30000253.0
52,FireWood,19999998.0
52,Gas,105499989.45
53,Diesel,30000253.0
53,FireWood,19999998.0
53,Gas,105499989.45
54,Diesel,30000253.0
54,FireWood,19999998.0
54,Gas,105499989.45
55,Diesel,30000253.0
55,FireWood,19999998.0
55,Gas,105499989.45
56,Diesel,30000253.0
56,FireWood,19999998.0
56,Gas,105499989.45
57,Diesel,30000253.0
57,FireWood,19999998.0
57,Gas,105499989.45
58,Diesel,30000253.0
58,FireWood,19999998.0
58,Gas,105499989.45
59,Diesel,30000253.0
59,FireWood,19999998.0
59,Gas,105499989.45
60,Diesel,30000253.0
60,FireWood,19999998.0
60,Gas,105499989.45
61,Diesel,30000253.0
61,FireWood,19999998.0
61,Gas,105499989.45
62,Diesel,30000253.0
62,FireWood,19999998.0
62,Gas,105499989.45
63,Diesel,30000253.0
63,FireWood,19999998.0
63,Gas,105499989.45
64,Diesel,30000253.0
64,FireWood,19999998.0
64,Gas,105499989.45
65,Diesel,30000253.0
65,FireWood,19999998.0
65,Gas,105499989.45
66,Diesel,30000253.0
66,FireWood,19999998.0
66,Gas,105499989.45
67,Diesel,30000253.0
67,FireWood,19999998.0
67,Gas,105499989.45
68,Diesel,30000253.0
68,FireWood,19999998.0
68,Gas,105499989.45
