fuel,hour,value
Power,1,0.00012329
Power,2,0.000112823
Power,3,0.000109645
Power,4,0.000110232
Power,5,0.000104567
Power,6,0.000106812
Power,7,0.000111856
Power,8,0.000121839
Power,9,0.000126538
Power,10,0.000133101
Power,11,0.000132445
Power,12,0.00013659
Power,13,0.00015369
Power,14,0.000134276
Power,15,0.000152343
Power,16,0.000138456
Power,17,0.000152723
Power,18,0.000144535
Power,19,0.000153897
Power,20,0.00015255
Power,21,0.000142428
Power,22,0.000138145
Power,23,0.000118385
Power,24,0.000110682
Power,25,9.91435E-05
Power,26,8.70183E-05
Power,27,8.50147E-05
Power,28,8.62929E-05
Power,29,8.16293E-05
Power,30,8.89183E-05
Power,31,9.42727E-05
Power,32,9.72436E-05
Power,33,9.84181E-05
Power,34,0.000112374
Power,35,0.000139837
Power,36,0.000143015
Power,37,0.00015331
Power,38,0.000136556
Power,39,0.000128956
Power,40,0.00010778
Power,41,0.000114274
Power,42,0.000135519
Power,43,0.00012899
Power,44,0.000132721
Power,45,0.000143292
Power,46,0.000138006
Power,47,0.000124292
Power,48,9.53091E-05
Power,49,9.19928E-05
Power,50,8.63965E-05
Power,51,7.75876E-05
Power,52,7.42022E-05
Power,53,7.31313E-05
Power,54,7.26131E-05
Power,55,8.18712E-05
Power,56,9.40655E-05
Power,57,9.61727E-05
Power,58,0.000101838
Power,59,0.000106847
Power,60,0.000115518
Power,61,0.000126883
Power,62,0.000121839
Power,63,9.9109E-05
Power,64,0.000111269
Power,65,0.000135105
Power,66,0.000154588
Power,67,0.000131996
Power,68,0.000134897
Power,69,0.000135588
Power,70,0.00016167
Power,71,0.000142255
Power,72,0.000129025
Power,73,0.000107607
Power,74,0.000101907
Power,75,7.51349E-05
Power,76,7.5584E-05
Power,77,7.31659E-05
Power,78,7.09895E-05
Power,79,8.58093E-05
Power,80,8.85383E-05
Power,81,0.000103151
Power,82,0.000124638
Power,83,0.000146746
Power,84,0.000126883
Power,85,0.000136556
Power,86,0.000126434
Power,87,0.000127643
Power,88,0.000113894
Power,89,0.000127194
Power,90,0.000157144
Power,91,0.000152135
Power,92,9.9489E-06
Power,93,0.000145986
Power,94,8.50838E-05
Power,95,0.000147886
Power,96,0.000108989
Power,97,9.01964E-05
Power,98,7.62058E-05
Power,99,7.27168E-05
Power,100,7.18532E-05
Power,101,7.31659E-05
Power,102,6.89514E-05
Power,103,8.04548E-05
Power,104,0.00011987
Power,105,0.000125432
Power,106,0.000157524
Power,107,5.4339E-05
Power,108,0.000132272
Power,109,0.000121805
Power,110,0.000122703
Power,111,0.000104153
Power,112,0.000118869
Power,113,0.000114378
Power,114,0.000168233
Power,115,0.000128092
Power,116,0.000183226
Power,117,0.00016996
Power,118,0.000150408
Power,119,0.000140252
Power,120,0.000122254
Power,121,0.000117107
Power,122,9.89708E-05
Power,123,0.000101873
Power,124,9.63454E-05
Power,125,9.40309E-05
Power,126,9.65181E-05
Power,127,0.000103496
Power,128,1.0398E-05
Power,129,1.02253E-05
Power,130,0.000132617
Power,131,0.000122358
Power,132,0.000122703
Power,133,0.0001131
Power,134,0.000107607
Power,135,0.000173138
Power,136,0.000167991
Power,137,0.000142946
Power,138,0.000142635
Power,139,0.000170375
Power,140,0.000120285
Power,141,0.000123463
Power,142,0.000132756
Power,143,0.000144363
Power,144,9.13364E-05
Power,145,9.92817E-05
Power,146,8.73292E-05
Power,147,8.60165E-05
Power,148,8.61547E-05
Power,149,8.62929E-05
Power,150,7.75531E-05
Power,151,8.86074E-05
Power,152,9.79345E-05
Power,153,0.000120389
Power,154,0.000120941
Power,155,0.000134172
Power,156,0.000127367
Power,157,0.000118972
Power,158,0.000131927
Power,159,0.000118523
Power,160,0.00013089
Power,161,0.000136314
Power,162,0.000128852
Power,163,0.000151963
Power,164,0.000136003
Power,165,0.000130027
Power,166,0.000120354
Power,167,0.000112961
Power,168,9.54818E-05
Power,169,8.15603E-05
Power,170,7.49967E-05
Power,171,7.14386E-05
Power,172,6.96768E-05
Power,173,7.19223E-05
Power,174,7.44786E-05
Power,175,8.16639E-05
Power,176,9.52054E-05
Power,177,0.000110682
Power,178,0.000112754
Power,179,0.000130407
Power,180,0.000146159
Power,181,0.00012937
Power,182,0.000122081
Power,183,0.00010816
Power,184,0.000113687
Power,185,0.000138594
Power,186,0.000147921
Power,187,0.000129785
Power,188,0.000146815
Power,189,0.000176904
Power,190,3.0054E-06
Power,191,0.000112132
Power,192,0.00010854
Power,193,8.61202E-05
Power,194,7.18186E-05
Power,195,7.28895E-05
Power,196,6.91587E-05
Power,197,6.53587E-05
Power,198,7.10932E-05
Power,199,7.40295E-05
Power,200,9.2131E-05
Power,201,0.000104982
Power,202,9.30982E-05
Power,203,0.000115414
Power,204,0.000107331
Power,205,0.000126399
Power,206,0.000123705
Power,207,0.000116727
Power,208,0.000127954
Power,209,0.000143119
Power,210,0.000138076
Power,211,0.000153932
Power,212,0.000129647
Power,213,0.000147817
Power,214,0.000124707
Power,215,0.000122634
Power,216,0.000121563
Power,217,0.000110198
Power,218,8.55674E-05
Power,219,8.57747E-05
Power,220,8.17675E-05
Power,221,7.9833E-05
Power,222,7.38913E-05
Power,223,7.84167E-05
Power,224,8.59474E-05
Power,225,9.86945E-05
Power,226,0.000102253
Power,227,0.000112547
Power,228,0.000136866
Power,229,0.000149303
Power,230,0.000156004
Power,231,0.000173138
Power,232,0.000156902
Power,233,0.00015787
Power,234,0.000165988
Power,235,0.000186335
Power,236,0.000171031
Power,237,0.000164122
Power,238,0.00016167
Power,239,0.000142255
Power,240,0.000129025
Power,241,0.000107607
Power,242,0.000101907
Power,243,8.99546E-05
Power,244,9.27182E-05
Power,245,9.00583E-05
Power,246,9.12328E-05
Power,247,9.28564E-05
Power,248,0.000110163
Power,249,0.000140494
Power,250,0.000151893
Power,251,0.00014875
Power,252,0.000175902
Power,253,0.000147472
Power,254,0.000167991
Power,255,0.000145054
Power,256,0.000163984
Power,257,0.000171377
Power,258,0.000170686
Power,259,0.000152135
Power,260,0.000161946
Power,261,0.000167473
Power,262,0.000171308
Power,263,0.000147886
Power,264,0.000126088
Power,265,0.000111269
Power,266,0.0001055
Power,267,9.96272E-05
Power,268,9.84872E-05
Power,269,9.93854E-05
Power,270,9.638E-05
Power,271,9.87981E-05
Power,272,0.00011987
Power,273,0.000125432
Power,274,0.000157524
Power,275,0.000171549
Power,276,0.000157248
Power,277,0.000138939
Power,278,0.00015825
Power,279,0.000162533
Power,280,0.000153206
Power,281,0.000146746
Power,282,0.000196422
Power,283,0.000163742
Power,284,0.000183226
Power,285,0.00016996
Power,286,0.000150408
Power,287,0.000140252
Power,288,0.000122254
Power,289,0.000117107
Power,290,9.89708E-05
Power,291,0.000101873
Power,292,9.63454E-05
Power,293,9.40309E-05
Power,294,9.65181E-05
Power,295,0.000103496
Power,296,0.000116658
Power,297,0.000130925
Power,298,0.000153552
Power,299,0.0001635
Power,300,0.000173173
Power,301,0.000168993
Power,302,0.000159355
Power,303,0.000173138
Power,304,0.000167991
Power,305,0.000146919
Power,306,0.000146435
