Year,Technology,Type,Value
2025,SolarPV,NewCapacity,0.0
2025,WindOnshore,NewCapacity,0.0
2025,HydroPower,NewCapacity,0.0
2025,DieselGenerator,NewCapacity,0.0
2025,Tidal,NewCapacity,0.0
2025,DieselImport,NewCapacity,62.093394968123285
2025,Forest,NewCapacity,492.1976528224
2025,ElectricStove,NewCapacity,47.22577394238667
2025,ElectricVehicle,NewCapacity,133.91488872934426
2025,WoodBurner,NewCapacity,246.0988264112
2030,SolarPV,NewCapacity,0.0
2030,WindOnshore,NewCapacity,0.0
2030,HydroPower,NewCapacity,0.0
2030,DieselGenerator,NewCapacity,0.0
2030,Tidal,NewCapacity,0.0
2030,DieselImport,NewCapacity,0.0
2030,Forest,NewCapacity,86.85840932159994
2030,ElectricStove,NewCapacity,8.333960107479989
2030,ElectricVehicle,NewCapacity,23.632039147241215
2030,WoodBurner,NewCapacity,43.42920466079997
2035,SolarPV,NewCapacity,0.0
2035,WindOnshore,NewCapacity,0.0
2035,HydroPower,NewCapacity,0.0
2035,DieselGenerator,NewCapacity,0.0
2035,Tidal,NewCapacity,11.69560016985205
2035,DieselImport,NewCapacity,0.0
2035,Forest,NewCapacity,13.849410440000042
2035,ElectricStove,NewCapacity,1.8917964688000026
2035,ElectricVehicle,NewCapacity,0.0
2035,WoodBurner,NewCapacity,6.924705220000021
2040,SolarPV,NewCapacity,301.7554364634831
2040,WindOnshore,NewCapacity,8.88829575742615
2040,HydroPower,NewCapacity,0.0
2040,DieselGenerator,NewCapacity,0.0
2040,Tidal,NewCapacity,6.800931297005114
2040,DieselImport,NewCapacity,999936.9066050319
2040,Forest,NewCapacity,999406.094527416
2040,ElectricStove,NewCapacity,999941.5484694813
2040,ElectricVehicle,NewCapacity,999841.4530721235
2040,WoodBurner,NewCapacity,999702.547263708
2025,SolarPV,TotalCapacity,182.0
2025,WindOnshore,TotalCapacity,24.0
2025,HydroPower,TotalCapacity,112.0
2025,DieselGenerator,TotalCapacity,64.0
2025,Tidal,TotalCapacity,0.0
2025,DieselImport,TotalCapacity,62.093394968123285
2025,Forest,TotalCapacity,492.1976528224
2025,ElectricStove,TotalCapacity,47.22577394238667
2025,ElectricVehicle,TotalCapacity,133.91488872934426
2025,WoodBurner,TotalCapacity,246.0988264112
2030,SolarPV,TotalCapacity,182.0
2030,WindOnshore,TotalCapacity,24.0
2030,HydroPower,TotalCapacity,112.0
2030,DieselGenerator,TotalCapacity,64.0
2030,Tidal,TotalCapacity,0.0
2030,DieselImport,TotalCapacity,62.093394968123285
2030,Forest,TotalCapacity,579.056062144
2030,ElectricStove,TotalCapacity,55.559734049866655
2030,ElectricVehicle,TotalCapacity,157.54692787658547
2030,WoodBurner,TotalCapacity,289.528031072
2035,SolarPV,TotalCapacity,182.0
2035,WindOnshore,TotalCapacity,24.0
2035,HydroPower,TotalCapacity,112.0
2035,DieselGenerator,TotalCapacity,64.0
2035,Tidal,TotalCapacity,11.69560016985205
2035,DieselImport,TotalCapacity,62.093394968123285
2035,Forest,TotalCapacity,592.905472584
2035,ElectricStove,TotalCapacity,57.45153051866666
2035,ElectricVehicle,TotalCapacity,157.54692787658547
2035,WoodBurner,TotalCapacity,296.452736292
2040,SolarPV,TotalCapacity,483.7554364634831
2040,WindOnshore,TotalCapacity,32.88829575742615
2040,HydroPower,TotalCapacity,112.0
2040,DieselGenerator,TotalCapacity,64.0
2040,Tidal,TotalCapacity,18.496531466857164
2040,DieselImport,TotalCapacity,999999.0
2040,Forest,TotalCapacity,999999.0
2040,ElectricStove,TotalCapacity,999999.0
2040,ElectricVehicle,TotalCapacity,999999.0
2040,WoodBurner,TotalCapacity,999999.0
